""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"52"	"Rhizobiaceae"	65	TRUE	TRUE	TRUE	TRUE
"51"	"Pseudomonadales"	64	TRUE	TRUE	TRUE	TRUE
"56"	"Sandaracinaceae"	59	FALSE	TRUE	TRUE	TRUE
"53"	"Rhodobacteraceae"	58	FALSE	TRUE	TRUE	TRUE
"16"	"Cyanobiaceae"	57	FALSE	TRUE	TRUE	TRUE
"17"	"Cyclobacteriaceae"	57	FALSE	TRUE	TRUE	TRUE
"39"	"Microtrichaceae"	57	FALSE	TRUE	TRUE	TRUE
"49"	"PS1.clade"	57	FALSE	TRUE	TRUE	TRUE
"1"	"Actinomarinales"	55	FALSE	TRUE	TRUE	TRUE
"32"	"Ilumatobacteraceae"	55	FALSE	TRUE	TRUE	TRUE
"36"	"Methyloligellaceae"	55	FALSE	TRUE	TRUE	TRUE
"42"	"Nitrincolaceae"	55	FALSE	TRUE	TRUE	TRUE
"4"	"Arcobacteraceae"	54	FALSE	TRUE	TRUE	TRUE
"44"	"NS9.marine.group"	54	FALSE	TRUE	TRUE	TRUE
"12"	"Clostridiaceae"	51	FALSE	FALSE	TRUE	TRUE
"19"	"Desulfovibrionaceae"	51	FALSE	FALSE	TRUE	TRUE
"38"	"Microbulbiferaceae"	51	FALSE	FALSE	TRUE	TRUE
"54"	"Rubritaleaceae"	51	FALSE	FALSE	TRUE	TRUE
"65"	"Unknown.Family"	51	FALSE	FALSE	TRUE	TRUE
"18"	"Desulfocapsaceae"	50	FALSE	FALSE	TRUE	TRUE
"24"	"Eurycoccales.Incertae.Sedis"	50	FALSE	FALSE	TRUE	TRUE
"31"	"Hyphomonadaceae"	50	FALSE	FALSE	TRUE	TRUE
"34"	"KI89A.clade"	50	FALSE	FALSE	TRUE	TRUE
"35"	"Leptolyngbyaceae"	50	FALSE	FALSE	TRUE	TRUE
"57"	"Saprospiraceae"	50	FALSE	FALSE	TRUE	TRUE
"67"	"Woeseiaceae"	50	FALSE	FALSE	TRUE	TRUE
"26"	"Gammaproteobacteria"	49	FALSE	FALSE	TRUE	TRUE
"47"	"Porticoccaceae"	49	FALSE	FALSE	TRUE	TRUE
"64"	"UBA10353.marine.group"	49	FALSE	FALSE	TRUE	TRUE
"29"	"HOC36"	48	FALSE	FALSE	TRUE	TRUE
"13"	"Colwelliaceae"	47	FALSE	FALSE	TRUE	TRUE
"14"	"Crocinitomicaceae"	47	FALSE	FALSE	TRUE	TRUE
"20"	"DEV007"	47	FALSE	FALSE	TRUE	TRUE
"23"	"Enterobacteriaceae"	47	FALSE	FALSE	TRUE	TRUE
"30"	"Hyphomicrobiaceae"	47	FALSE	FALSE	TRUE	TRUE
"46"	"Pirellulaceae"	47	FALSE	FALSE	TRUE	TRUE
"41"	"Moritellaceae"	46	FALSE	FALSE	FALSE	TRUE
"48"	"Propionibacteriaceae"	46	FALSE	FALSE	FALSE	TRUE
"10"	"Clade.II"	45	FALSE	FALSE	FALSE	TRUE
"22"	"Enterobacterales"	45	FALSE	FALSE	FALSE	TRUE
"33"	"KD4.96"	45	FALSE	FALSE	FALSE	TRUE
"63"	"Sulfurimonadaceae"	45	FALSE	FALSE	FALSE	TRUE
"2"	"AEGEAN.169.marine.group"	44	FALSE	FALSE	FALSE	TRUE
"43"	"NS11.12.marine.group"	44	FALSE	FALSE	FALSE	TRUE
"61"	"Sporichthyaceae"	44	FALSE	FALSE	FALSE	TRUE
"7"	"Blastocatellaceae"	43	FALSE	FALSE	FALSE	TRUE
"11"	"Clade.III"	43	FALSE	FALSE	FALSE	TRUE
"21"	"Endozoicomonadaceae"	43	FALSE	FALSE	FALSE	TRUE
"25"	"Flavobacteriaceae"	43	FALSE	FALSE	FALSE	TRUE
"45"	"Phycisphaeraceae"	43	FALSE	FALSE	FALSE	TRUE
"55"	"Saccharospirillaceae"	43	FALSE	FALSE	FALSE	TRUE
"59"	"SAR86.clade"	43	FALSE	FALSE	FALSE	TRUE
"62"	"Staphylococcaceae"	43	FALSE	FALSE	FALSE	TRUE
"5"	"Bacteria"	42	FALSE	FALSE	FALSE	TRUE
"15"	"Cryomorphaceae"	42	FALSE	FALSE	FALSE	TRUE
"37"	"Microbacteriaceae"	41	FALSE	FALSE	FALSE	TRUE
"58"	"SAR116.clade"	41	FALSE	FALSE	FALSE	TRUE
"28"	"Halomonadaceae"	40	FALSE	FALSE	FALSE	FALSE
"8"	"Caulobacteraceae"	39	FALSE	FALSE	FALSE	FALSE
"40"	"Moraxellaceae"	39	FALSE	FALSE	FALSE	FALSE
"3"	"Alteromonadaceae"	38	FALSE	FALSE	FALSE	FALSE
"9"	"Clade.I"	37	FALSE	FALSE	FALSE	FALSE
"27"	"Halieaceae"	36	FALSE	FALSE	FALSE	FALSE
"6"	"Beijerinckiaceae"	32	FALSE	FALSE	FALSE	FALSE
"66"	"Vibrionaceae"	32	FALSE	FALSE	FALSE	FALSE
"68"	"Xenococcaceae"	31	FALSE	FALSE	FALSE	FALSE
"50"	"Pseudoalteromonadaceae"	27	FALSE	FALSE	FALSE	FALSE
"60"	"Sphingomonadaceae"	21	FALSE	FALSE	FALSE	FALSE
