""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"15"	"Cryomorphaceae"	57	FALSE	TRUE	TRUE	TRUE
"66"	"Vibrionaceae"	54	FALSE	TRUE	TRUE	TRUE
"44"	"NS9.marine.group"	52	FALSE	FALSE	TRUE	TRUE
"28"	"Halomonadaceae"	48	FALSE	FALSE	TRUE	TRUE
"53"	"Rhodobacteraceae"	48	FALSE	FALSE	TRUE	TRUE
"42"	"Nitrincolaceae"	45	FALSE	FALSE	FALSE	TRUE
"43"	"NS11.12.marine.group"	34	FALSE	FALSE	FALSE	FALSE
"4"	"Arcobacteraceae"	32	FALSE	FALSE	FALSE	FALSE
"50"	"Pseudoalteromonadaceae"	31	FALSE	FALSE	FALSE	FALSE
"51"	"Pseudomonadales"	31	FALSE	FALSE	FALSE	FALSE
"52"	"Rhizobiaceae"	28	FALSE	FALSE	FALSE	FALSE
"39"	"Microtrichaceae"	26	FALSE	FALSE	FALSE	FALSE
"26"	"Gammaproteobacteria"	25	FALSE	FALSE	FALSE	FALSE
"37"	"Microbacteriaceae"	22	FALSE	FALSE	FALSE	FALSE
"25"	"Flavobacteriaceae"	18	FALSE	FALSE	FALSE	FALSE
"17"	"Cyclobacteriaceae"	14	FALSE	FALSE	FALSE	FALSE
"18"	"Desulfocapsaceae"	12	FALSE	FALSE	FALSE	FALSE
"36"	"Methyloligellaceae"	12	FALSE	FALSE	FALSE	FALSE
"63"	"Sulfurimonadaceae"	12	FALSE	FALSE	FALSE	FALSE
"24"	"Eurycoccales.Incertae.Sedis"	11	FALSE	FALSE	FALSE	FALSE
"14"	"Crocinitomicaceae"	10	FALSE	FALSE	FALSE	FALSE
"38"	"Microbulbiferaceae"	10	FALSE	FALSE	FALSE	FALSE
"49"	"PS1.clade"	9	FALSE	FALSE	FALSE	FALSE
"35"	"Leptolyngbyaceae"	8	FALSE	FALSE	FALSE	FALSE
"6"	"Beijerinckiaceae"	7	FALSE	FALSE	FALSE	FALSE
"7"	"Blastocatellaceae"	7	FALSE	FALSE	FALSE	FALSE
"8"	"Caulobacteraceae"	7	FALSE	FALSE	FALSE	FALSE
"55"	"Saccharospirillaceae"	7	FALSE	FALSE	FALSE	FALSE
"68"	"Xenococcaceae"	7	FALSE	FALSE	FALSE	FALSE
"57"	"Saprospiraceae"	6	FALSE	FALSE	FALSE	FALSE
"11"	"Clade.III"	5	FALSE	FALSE	FALSE	FALSE
"21"	"Endozoicomonadaceae"	5	FALSE	FALSE	FALSE	FALSE
"2"	"AEGEAN.169.marine.group"	4	FALSE	FALSE	FALSE	FALSE
"16"	"Cyanobiaceae"	4	FALSE	FALSE	FALSE	FALSE
"40"	"Moraxellaceae"	4	FALSE	FALSE	FALSE	FALSE
"48"	"Propionibacteriaceae"	4	FALSE	FALSE	FALSE	FALSE
"58"	"SAR116.clade"	4	FALSE	FALSE	FALSE	FALSE
"31"	"Hyphomonadaceae"	3	FALSE	FALSE	FALSE	FALSE
"41"	"Moritellaceae"	3	FALSE	FALSE	FALSE	FALSE
"46"	"Pirellulaceae"	3	FALSE	FALSE	FALSE	FALSE
"12"	"Clostridiaceae"	2	FALSE	FALSE	FALSE	FALSE
"56"	"Sandaracinaceae"	2	FALSE	FALSE	FALSE	FALSE
"59"	"SAR86.clade"	2	FALSE	FALSE	FALSE	FALSE
"10"	"Clade.II"	1	FALSE	FALSE	FALSE	FALSE
"23"	"Enterobacteriaceae"	1	FALSE	FALSE	FALSE	FALSE
"1"	"Actinomarinales"	0	FALSE	FALSE	FALSE	FALSE
"3"	"Alteromonadaceae"	0	FALSE	FALSE	FALSE	FALSE
"5"	"Bacteria"	0	FALSE	FALSE	FALSE	FALSE
"9"	"Clade.I"	0	FALSE	FALSE	FALSE	FALSE
"13"	"Colwelliaceae"	0	FALSE	FALSE	FALSE	FALSE
"19"	"Desulfovibrionaceae"	0	FALSE	FALSE	FALSE	FALSE
"20"	"DEV007"	0	FALSE	FALSE	FALSE	FALSE
"22"	"Enterobacterales"	0	FALSE	FALSE	FALSE	FALSE
"27"	"Halieaceae"	0	FALSE	FALSE	FALSE	FALSE
"29"	"HOC36"	0	FALSE	FALSE	FALSE	FALSE
"30"	"Hyphomicrobiaceae"	0	FALSE	FALSE	FALSE	FALSE
"32"	"Ilumatobacteraceae"	0	FALSE	FALSE	FALSE	FALSE
"33"	"KD4.96"	0	FALSE	FALSE	FALSE	FALSE
"34"	"KI89A.clade"	0	FALSE	FALSE	FALSE	FALSE
"45"	"Phycisphaeraceae"	0	FALSE	FALSE	FALSE	FALSE
"47"	"Porticoccaceae"	0	FALSE	FALSE	FALSE	FALSE
"54"	"Rubritaleaceae"	0	FALSE	FALSE	FALSE	FALSE
"60"	"Sphingomonadaceae"	0	FALSE	FALSE	FALSE	FALSE
"61"	"Sporichthyaceae"	0	FALSE	FALSE	FALSE	FALSE
"62"	"Staphylococcaceae"	0	FALSE	FALSE	FALSE	FALSE
"64"	"UBA10353.marine.group"	0	FALSE	FALSE	FALSE	FALSE
"65"	"Unknown.Family"	0	FALSE	FALSE	FALSE	FALSE
"67"	"Woeseiaceae"	0	FALSE	FALSE	FALSE	FALSE
