""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"15"	"Cryomorphaceae"	55	FALSE	TRUE	TRUE	TRUE
"66"	"Vibrionaceae"	53	FALSE	FALSE	TRUE	TRUE
"44"	"NS9.marine.group"	49	FALSE	FALSE	TRUE	TRUE
"53"	"Rhodobacteraceae"	41	FALSE	FALSE	FALSE	TRUE
"51"	"Pseudomonadales"	36	FALSE	FALSE	FALSE	FALSE
"43"	"NS11.12.marine.group"	20	FALSE	FALSE	FALSE	FALSE
"28"	"Halomonadaceae"	19	FALSE	FALSE	FALSE	FALSE
"39"	"Microtrichaceae"	16	FALSE	FALSE	FALSE	FALSE
"37"	"Microbacteriaceae"	15	FALSE	FALSE	FALSE	FALSE
"4"	"Arcobacteraceae"	11	FALSE	FALSE	FALSE	FALSE
"25"	"Flavobacteriaceae"	11	FALSE	FALSE	FALSE	FALSE
"26"	"Gammaproteobacteria"	11	FALSE	FALSE	FALSE	FALSE
"42"	"Nitrincolaceae"	10	FALSE	FALSE	FALSE	FALSE
"50"	"Pseudoalteromonadaceae"	10	FALSE	FALSE	FALSE	FALSE
"18"	"Desulfocapsaceae"	8	FALSE	FALSE	FALSE	FALSE
"38"	"Microbulbiferaceae"	8	FALSE	FALSE	FALSE	FALSE
"63"	"Sulfurimonadaceae"	7	FALSE	FALSE	FALSE	FALSE
"8"	"Caulobacteraceae"	6	FALSE	FALSE	FALSE	FALSE
"22"	"Enterobacterales"	4	FALSE	FALSE	FALSE	FALSE
"24"	"Eurycoccales.Incertae.Sedis"	4	FALSE	FALSE	FALSE	FALSE
"7"	"Blastocatellaceae"	3	FALSE	FALSE	FALSE	FALSE
"2"	"AEGEAN.169.marine.group"	2	FALSE	FALSE	FALSE	FALSE
"6"	"Beijerinckiaceae"	2	FALSE	FALSE	FALSE	FALSE
"14"	"Crocinitomicaceae"	2	FALSE	FALSE	FALSE	FALSE
"58"	"SAR116.clade"	2	FALSE	FALSE	FALSE	FALSE
"60"	"Sphingomonadaceae"	2	FALSE	FALSE	FALSE	FALSE
"16"	"Cyanobiaceae"	1	FALSE	FALSE	FALSE	FALSE
"23"	"Enterobacteriaceae"	1	FALSE	FALSE	FALSE	FALSE
"30"	"Hyphomicrobiaceae"	1	FALSE	FALSE	FALSE	FALSE
"36"	"Methyloligellaceae"	1	FALSE	FALSE	FALSE	FALSE
"41"	"Moritellaceae"	1	FALSE	FALSE	FALSE	FALSE
"48"	"Propionibacteriaceae"	1	FALSE	FALSE	FALSE	FALSE
"49"	"PS1.clade"	1	FALSE	FALSE	FALSE	FALSE
"54"	"Rubritaleaceae"	1	FALSE	FALSE	FALSE	FALSE
"57"	"Saprospiraceae"	1	FALSE	FALSE	FALSE	FALSE
"59"	"SAR86.clade"	1	FALSE	FALSE	FALSE	FALSE
"65"	"Unknown.Family"	1	FALSE	FALSE	FALSE	FALSE
"68"	"Xenococcaceae"	1	FALSE	FALSE	FALSE	FALSE
"1"	"Actinomarinales"	0	FALSE	FALSE	FALSE	FALSE
"3"	"Alteromonadaceae"	0	FALSE	FALSE	FALSE	FALSE
"5"	"Bacteria"	0	FALSE	FALSE	FALSE	FALSE
"9"	"Clade.I"	0	FALSE	FALSE	FALSE	FALSE
"10"	"Clade.II"	0	FALSE	FALSE	FALSE	FALSE
"11"	"Clade.III"	0	FALSE	FALSE	FALSE	FALSE
"12"	"Clostridiaceae"	0	FALSE	FALSE	FALSE	FALSE
"13"	"Colwelliaceae"	0	FALSE	FALSE	FALSE	FALSE
"17"	"Cyclobacteriaceae"	0	FALSE	FALSE	FALSE	FALSE
"19"	"Desulfovibrionaceae"	0	FALSE	FALSE	FALSE	FALSE
"20"	"DEV007"	0	FALSE	FALSE	FALSE	FALSE
"21"	"Endozoicomonadaceae"	0	FALSE	FALSE	FALSE	FALSE
"27"	"Halieaceae"	0	FALSE	FALSE	FALSE	FALSE
"29"	"HOC36"	0	FALSE	FALSE	FALSE	FALSE
"31"	"Hyphomonadaceae"	0	FALSE	FALSE	FALSE	FALSE
"32"	"Ilumatobacteraceae"	0	FALSE	FALSE	FALSE	FALSE
"33"	"KD4.96"	0	FALSE	FALSE	FALSE	FALSE
"34"	"KI89A.clade"	0	FALSE	FALSE	FALSE	FALSE
"35"	"Leptolyngbyaceae"	0	FALSE	FALSE	FALSE	FALSE
"40"	"Moraxellaceae"	0	FALSE	FALSE	FALSE	FALSE
"45"	"Phycisphaeraceae"	0	FALSE	FALSE	FALSE	FALSE
"46"	"Pirellulaceae"	0	FALSE	FALSE	FALSE	FALSE
"47"	"Porticoccaceae"	0	FALSE	FALSE	FALSE	FALSE
"52"	"Rhizobiaceae"	0	FALSE	FALSE	FALSE	FALSE
"55"	"Saccharospirillaceae"	0	FALSE	FALSE	FALSE	FALSE
"56"	"Sandaracinaceae"	0	FALSE	FALSE	FALSE	FALSE
"61"	"Sporichthyaceae"	0	FALSE	FALSE	FALSE	FALSE
"62"	"Staphylococcaceae"	0	FALSE	FALSE	FALSE	FALSE
"64"	"UBA10353.marine.group"	0	FALSE	FALSE	FALSE	FALSE
"67"	"Woeseiaceae"	0	FALSE	FALSE	FALSE	FALSE
