""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"84"	"Rhodobacteraceae"	107	TRUE	TRUE	TRUE	TRUE
"90"	"Ruegeria"	107	TRUE	TRUE	TRUE	TRUE
"81"	"Pseudomonadales"	102	TRUE	TRUE	TRUE	TRUE
"91"	"Sandaracinaceae"	97	FALSE	TRUE	TRUE	TRUE
"51"	"Ilumatobacter"	91	FALSE	TRUE	TRUE	TRUE
"99"	"Sva0996.marine.group"	91	FALSE	TRUE	TRUE	TRUE
"69"	"NS9.marine.group"	89	FALSE	TRUE	TRUE	TRUE
"5"	"Actinomarinales"	87	FALSE	TRUE	TRUE	TRUE
"43"	"Halarcobacter"	87	FALSE	TRUE	TRUE	TRUE
"41"	"Fulvivirga"	86	FALSE	FALSE	TRUE	TRUE
"87"	"Roseitalea"	86	FALSE	FALSE	TRUE	TRUE
"88"	"Rubripirellula"	86	FALSE	FALSE	TRUE	TRUE
"95"	"Shimia"	86	FALSE	FALSE	TRUE	TRUE
"78"	"PS1.clade"	85	FALSE	FALSE	TRUE	TRUE
"10"	"Amphritea"	84	FALSE	FALSE	TRUE	TRUE
"32"	"Cyclobacteriaceae"	84	FALSE	FALSE	TRUE	TRUE
"54"	"Klebsiella"	84	FALSE	FALSE	TRUE	TRUE
"60"	"Methyloceanibacter"	84	FALSE	FALSE	TRUE	TRUE
"68"	"NS5.marine.group"	84	FALSE	FALSE	TRUE	TRUE
"100"	"Synechococcus.CC9902"	84	FALSE	FALSE	TRUE	TRUE
"45"	"Halodesulfovibrio"	83	FALSE	FALSE	TRUE	TRUE
"49"	"Hoeflea"	83	FALSE	FALSE	TRUE	TRUE
"67"	"NS4.marine.group"	80	FALSE	FALSE	TRUE	TRUE
"105"	"Unknown.Family"	80	FALSE	FALSE	TRUE	TRUE
"13"	"Aureisphaera"	79	FALSE	FALSE	TRUE	TRUE
"24"	"Clostridiaceae"	79	FALSE	FALSE	TRUE	TRUE
"98"	"Sulfurimonadaceae"	79	FALSE	FALSE	TRUE	TRUE
"22"	"Clade.II"	78	FALSE	FALSE	TRUE	TRUE
"27"	"Cohaesibacter"	78	FALSE	FALSE	TRUE	TRUE
"61"	"Microbulbifer"	78	FALSE	FALSE	TRUE	TRUE
"65"	"Nioella"	78	FALSE	FALSE	TRUE	TRUE
"66"	"NS11.12.marine.group"	78	FALSE	FALSE	TRUE	TRUE
"3"	"Actibacter"	77	FALSE	FALSE	TRUE	TRUE
"8"	"Alteromonadaceae"	77	FALSE	FALSE	TRUE	TRUE
"6"	"AEGEAN.169.marine.group"	76	FALSE	FALSE	TRUE	TRUE
"23"	"Clade.III"	76	FALSE	FALSE	TRUE	TRUE
"94"	"SAR86.clade"	76	FALSE	FALSE	TRUE	TRUE
"97"	"Staphylococcus"	76	FALSE	FALSE	TRUE	TRUE
"108"	"Woeseia"	76	FALSE	FALSE	TRUE	TRUE
"17"	"Blastopirellula"	75	FALSE	FALSE	FALSE	TRUE
"30"	"Cryomorphaceae"	75	FALSE	FALSE	FALSE	TRUE
"39"	"Filomicrobium"	75	FALSE	FALSE	FALSE	TRUE
"55"	"Leptolyngbyaceae"	75	FALSE	FALSE	FALSE	TRUE
"92"	"Saprospiraceae"	75	FALSE	FALSE	FALSE	TRUE
"104"	"UBA10353.marine.group"	75	FALSE	FALSE	FALSE	TRUE
"16"	"Blastocatellaceae"	74	FALSE	FALSE	FALSE	TRUE
"35"	"Endozoicomonas"	74	FALSE	FALSE	FALSE	TRUE
"50"	"Hyphomonas"	74	FALSE	FALSE	FALSE	TRUE
"62"	"ML602J.51"	74	FALSE	FALSE	FALSE	TRUE
"106"	"Urania.1B.19.marine.sediment.group"	74	FALSE	FALSE	FALSE	TRUE
"4"	"Actibacterium"	73	FALSE	FALSE	FALSE	TRUE
"40"	"Flavobacteriaceae"	73	FALSE	FALSE	FALSE	TRUE
"42"	"Gammaproteobacteria"	73	FALSE	FALSE	FALSE	TRUE
"53"	"KI89A.clade"	73	FALSE	FALSE	FALSE	TRUE
"93"	"SAR116.clade"	73	FALSE	FALSE	FALSE	TRUE
"14"	"Bacteria"	72	FALSE	FALSE	FALSE	TRUE
"71"	"Palleronia.Pseudomaribius"	72	FALSE	FALSE	FALSE	TRUE
"76"	"Porticoccus"	72	FALSE	FALSE	FALSE	TRUE
"79"	"Pseudahrensia"	72	FALSE	FALSE	FALSE	TRUE
"82"	"Pseudooceanicola"	72	FALSE	FALSE	FALSE	TRUE
"48"	"HOC36"	71	FALSE	FALSE	FALSE	TRUE
"56"	"Lutimonas"	71	FALSE	FALSE	FALSE	TRUE
"75"	"Pirellulaceae"	71	FALSE	FALSE	FALSE	TRUE
"101"	"Synechococcus.PCC.7336"	71	FALSE	FALSE	FALSE	TRUE
"44"	"Halieaceae"	70	FALSE	FALSE	FALSE	TRUE
"102"	"Thalassobius"	69	FALSE	FALSE	FALSE	TRUE
"15"	"Blastocatella"	68	FALSE	FALSE	FALSE	TRUE
"29"	"Crocinitomicaceae"	68	FALSE	FALSE	FALSE	TRUE
"77"	"Propionibacteriaceae"	68	FALSE	FALSE	FALSE	TRUE
"89"	"Rubritalea"	68	FALSE	FALSE	FALSE	TRUE
"96"	"Sporichthyaceae"	68	FALSE	FALSE	FALSE	TRUE
"2"	"Acinetobacter"	67	FALSE	FALSE	FALSE	TRUE
"25"	"Clostridium.sensu.stricto.1"	67	FALSE	FALSE	FALSE	TRUE
"28"	"Cribrihabitans"	67	FALSE	FALSE	FALSE	TRUE
"33"	"Desulfocapsaceae"	67	FALSE	FALSE	FALSE	TRUE
"34"	"DEV007"	67	FALSE	FALSE	FALSE	TRUE
"58"	"Marinovum"	67	FALSE	FALSE	FALSE	TRUE
"85"	"Rhodopirellula"	67	FALSE	FALSE	FALSE	TRUE
"1"	"X.Desulfobacterium..catecholicum.group"	66	FALSE	FALSE	FALSE	TRUE
"36"	"Enterobacterales"	66	FALSE	FALSE	FALSE	TRUE
"74"	"Pirellula"	66	FALSE	FALSE	FALSE	TRUE
"83"	"Pseudoruegeria"	66	FALSE	FALSE	FALSE	TRUE
"103"	"Thalassotalea"	66	FALSE	FALSE	FALSE	TRUE
"31"	"Cyanobium.PCC.6307"	64	FALSE	FALSE	FALSE	FALSE
"46"	"Halomonas"	64	FALSE	FALSE	FALSE	FALSE
"64"	"Neptuniibacter"	64	FALSE	FALSE	FALSE	FALSE
"72"	"Paramoritella"	64	FALSE	FALSE	FALSE	FALSE
"18"	"Brevundimonas"	63	FALSE	FALSE	FALSE	FALSE
"52"	"KD4.96"	63	FALSE	FALSE	FALSE	FALSE
"80"	"Pseudoalteromonas"	63	FALSE	FALSE	FALSE	FALSE
"12"	"Aurantivirga"	62	FALSE	FALSE	FALSE	FALSE
"21"	"Clade.Ia"	62	FALSE	FALSE	FALSE	FALSE
"26"	"Cognatishimia"	62	FALSE	FALSE	FALSE	FALSE
"109"	"Xenococcus.PCC.7305"	62	FALSE	FALSE	FALSE	FALSE
"47"	"HIMB11"	61	FALSE	FALSE	FALSE	FALSE
"19"	"Candidatus.Aquiluna"	60	FALSE	FALSE	FALSE	FALSE
"86"	"Roseibacillus"	60	FALSE	FALSE	FALSE	FALSE
"63"	"Nautella"	59	FALSE	FALSE	FALSE	FALSE
"73"	"Photobacterium"	59	FALSE	FALSE	FALSE	FALSE
"7"	"Aestuariibacter"	56	FALSE	FALSE	FALSE	FALSE
"9"	"Alteromonas"	56	FALSE	FALSE	FALSE	FALSE
"11"	"Ascidiaceihabitans"	56	FALSE	FALSE	FALSE	FALSE
"57"	"Malaciobacter"	56	FALSE	FALSE	FALSE	FALSE
"70"	"OM60.NOR5..clade"	56	FALSE	FALSE	FALSE	FALSE
"59"	"Methylobacterium.Methylorubrum"	50	FALSE	FALSE	FALSE	FALSE
"20"	"Catenococcus"	45	FALSE	FALSE	FALSE	FALSE
"37"	"Epibacterium"	45	FALSE	FALSE	FALSE	FALSE
"38"	"Erythrobacter"	45	FALSE	FALSE	FALSE	FALSE
"107"	"Vibrio"	39	FALSE	FALSE	FALSE	FALSE
