""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"90"	"Ruegeria"	103	TRUE	TRUE	TRUE	TRUE
"67"	"NS4.marine.group"	100	TRUE	TRUE	TRUE	TRUE
"84"	"Rhodobacteraceae"	94	FALSE	TRUE	TRUE	TRUE
"30"	"Cryomorphaceae"	90	FALSE	TRUE	TRUE	TRUE
"69"	"NS9.marine.group"	83	FALSE	FALSE	TRUE	TRUE
"107"	"Vibrio"	82	FALSE	FALSE	TRUE	TRUE
"46"	"Halomonas"	81	FALSE	FALSE	TRUE	TRUE
"73"	"Photobacterium"	79	FALSE	FALSE	TRUE	TRUE
"8"	"Alteromonadaceae"	62	FALSE	FALSE	FALSE	FALSE
"66"	"NS11.12.marine.group"	55	FALSE	FALSE	FALSE	FALSE
"81"	"Pseudomonadales"	49	FALSE	FALSE	FALSE	FALSE
"10"	"Amphritea"	48	FALSE	FALSE	FALSE	FALSE
"40"	"Flavobacteriaceae"	45	FALSE	FALSE	FALSE	FALSE
"99"	"Sva0996.marine.group"	44	FALSE	FALSE	FALSE	FALSE
"75"	"Pirellulaceae"	36	FALSE	FALSE	FALSE	FALSE
"43"	"Halarcobacter"	35	FALSE	FALSE	FALSE	FALSE
"7"	"Aestuariibacter"	34	FALSE	FALSE	FALSE	FALSE
"19"	"Candidatus.Aquiluna"	32	FALSE	FALSE	FALSE	FALSE
"42"	"Gammaproteobacteria"	31	FALSE	FALSE	FALSE	FALSE
"62"	"ML602J.51"	27	FALSE	FALSE	FALSE	FALSE
"25"	"Clostridium.sensu.stricto.1"	26	FALSE	FALSE	FALSE	FALSE
"65"	"Nioella"	23	FALSE	FALSE	FALSE	FALSE
"98"	"Sulfurimonadaceae"	23	FALSE	FALSE	FALSE	FALSE
"38"	"Erythrobacter"	21	FALSE	FALSE	FALSE	FALSE
"44"	"Halieaceae"	20	FALSE	FALSE	FALSE	FALSE
"95"	"Shimia"	20	FALSE	FALSE	FALSE	FALSE
"101"	"Synechococcus.PCC.7336"	20	FALSE	FALSE	FALSE	FALSE
"31"	"Cyanobium.PCC.6307"	19	FALSE	FALSE	FALSE	FALSE
"68"	"NS5.marine.group"	18	FALSE	FALSE	FALSE	FALSE
"33"	"Desulfocapsaceae"	16	FALSE	FALSE	FALSE	FALSE
"61"	"Microbulbifer"	16	FALSE	FALSE	FALSE	FALSE
"83"	"Pseudoruegeria"	15	FALSE	FALSE	FALSE	FALSE
"29"	"Crocinitomicaceae"	14	FALSE	FALSE	FALSE	FALSE
"82"	"Pseudooceanicola"	14	FALSE	FALSE	FALSE	FALSE
"27"	"Cohaesibacter"	13	FALSE	FALSE	FALSE	FALSE
"59"	"Methylobacterium.Methylorubrum"	13	FALSE	FALSE	FALSE	FALSE
"100"	"Synechococcus.CC9902"	12	FALSE	FALSE	FALSE	FALSE
"56"	"Lutimonas"	10	FALSE	FALSE	FALSE	FALSE
"64"	"Neptuniibacter"	10	FALSE	FALSE	FALSE	FALSE
"6"	"AEGEAN.169.marine.group"	9	FALSE	FALSE	FALSE	FALSE
"15"	"Blastocatella"	9	FALSE	FALSE	FALSE	FALSE
"80"	"Pseudoalteromonas"	9	FALSE	FALSE	FALSE	FALSE
"2"	"Acinetobacter"	8	FALSE	FALSE	FALSE	FALSE
"18"	"Brevundimonas"	8	FALSE	FALSE	FALSE	FALSE
"60"	"Methyloceanibacter"	8	FALSE	FALSE	FALSE	FALSE
"77"	"Propionibacteriaceae"	8	FALSE	FALSE	FALSE	FALSE
"23"	"Clade.III"	7	FALSE	FALSE	FALSE	FALSE
"71"	"Palleronia.Pseudomaribius"	7	FALSE	FALSE	FALSE	FALSE
"102"	"Thalassobius"	7	FALSE	FALSE	FALSE	FALSE
"78"	"PS1.clade"	6	FALSE	FALSE	FALSE	FALSE
"92"	"Saprospiraceae"	6	FALSE	FALSE	FALSE	FALSE
"93"	"SAR116.clade"	6	FALSE	FALSE	FALSE	FALSE
"50"	"Hyphomonas"	5	FALSE	FALSE	FALSE	FALSE
"70"	"OM60.NOR5..clade"	5	FALSE	FALSE	FALSE	FALSE
"89"	"Rubritalea"	5	FALSE	FALSE	FALSE	FALSE
"1"	"X.Desulfobacterium..catecholicum.group"	4	FALSE	FALSE	FALSE	FALSE
"55"	"Leptolyngbyaceae"	4	FALSE	FALSE	FALSE	FALSE
"91"	"Sandaracinaceae"	4	FALSE	FALSE	FALSE	FALSE
"96"	"Sporichthyaceae"	4	FALSE	FALSE	FALSE	FALSE
"20"	"Catenococcus"	3	FALSE	FALSE	FALSE	FALSE
"35"	"Endozoicomonas"	3	FALSE	FALSE	FALSE	FALSE
"37"	"Epibacterium"	3	FALSE	FALSE	FALSE	FALSE
"41"	"Fulvivirga"	3	FALSE	FALSE	FALSE	FALSE
"54"	"Klebsiella"	3	FALSE	FALSE	FALSE	FALSE
"57"	"Malaciobacter"	3	FALSE	FALSE	FALSE	FALSE
"94"	"SAR86.clade"	3	FALSE	FALSE	FALSE	FALSE
"105"	"Unknown.Family"	3	FALSE	FALSE	FALSE	FALSE
"3"	"Actibacter"	2	FALSE	FALSE	FALSE	FALSE
"5"	"Actinomarinales"	2	FALSE	FALSE	FALSE	FALSE
"12"	"Aurantivirga"	2	FALSE	FALSE	FALSE	FALSE
"13"	"Aureisphaera"	2	FALSE	FALSE	FALSE	FALSE
"21"	"Clade.Ia"	2	FALSE	FALSE	FALSE	FALSE
"22"	"Clade.II"	2	FALSE	FALSE	FALSE	FALSE
"24"	"Clostridiaceae"	2	FALSE	FALSE	FALSE	FALSE
"32"	"Cyclobacteriaceae"	2	FALSE	FALSE	FALSE	FALSE
"36"	"Enterobacterales"	2	FALSE	FALSE	FALSE	FALSE
"47"	"HIMB11"	2	FALSE	FALSE	FALSE	FALSE
"48"	"HOC36"	2	FALSE	FALSE	FALSE	FALSE
"49"	"Hoeflea"	2	FALSE	FALSE	FALSE	FALSE
"53"	"KI89A.clade"	2	FALSE	FALSE	FALSE	FALSE
"72"	"Paramoritella"	2	FALSE	FALSE	FALSE	FALSE
"76"	"Porticoccus"	2	FALSE	FALSE	FALSE	FALSE
"79"	"Pseudahrensia"	2	FALSE	FALSE	FALSE	FALSE
"86"	"Roseibacillus"	2	FALSE	FALSE	FALSE	FALSE
"87"	"Roseitalea"	2	FALSE	FALSE	FALSE	FALSE
"97"	"Staphylococcus"	2	FALSE	FALSE	FALSE	FALSE
"103"	"Thalassotalea"	2	FALSE	FALSE	FALSE	FALSE
"106"	"Urania.1B.19.marine.sediment.group"	2	FALSE	FALSE	FALSE	FALSE
"108"	"Woeseia"	2	FALSE	FALSE	FALSE	FALSE
"109"	"Xenococcus.PCC.7305"	2	FALSE	FALSE	FALSE	FALSE
"4"	"Actibacterium"	1	FALSE	FALSE	FALSE	FALSE
"11"	"Ascidiaceihabitans"	1	FALSE	FALSE	FALSE	FALSE
"14"	"Bacteria"	1	FALSE	FALSE	FALSE	FALSE
"16"	"Blastocatellaceae"	1	FALSE	FALSE	FALSE	FALSE
"17"	"Blastopirellula"	1	FALSE	FALSE	FALSE	FALSE
"26"	"Cognatishimia"	1	FALSE	FALSE	FALSE	FALSE
"28"	"Cribrihabitans"	1	FALSE	FALSE	FALSE	FALSE
"34"	"DEV007"	1	FALSE	FALSE	FALSE	FALSE
"39"	"Filomicrobium"	1	FALSE	FALSE	FALSE	FALSE
"45"	"Halodesulfovibrio"	1	FALSE	FALSE	FALSE	FALSE
"51"	"Ilumatobacter"	1	FALSE	FALSE	FALSE	FALSE
"52"	"KD4.96"	1	FALSE	FALSE	FALSE	FALSE
"58"	"Marinovum"	1	FALSE	FALSE	FALSE	FALSE
"63"	"Nautella"	1	FALSE	FALSE	FALSE	FALSE
"74"	"Pirellula"	1	FALSE	FALSE	FALSE	FALSE
"85"	"Rhodopirellula"	1	FALSE	FALSE	FALSE	FALSE
"88"	"Rubripirellula"	1	FALSE	FALSE	FALSE	FALSE
"104"	"UBA10353.marine.group"	1	FALSE	FALSE	FALSE	FALSE
"9"	"Alteromonas"	0	FALSE	FALSE	FALSE	FALSE
