""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"51"	"Halodesulfovibrio"	119	TRUE	TRUE	TRUE	TRUE
"95"	"Roseibacillus"	118	TRUE	TRUE	TRUE	TRUE
"99"	"Rubritalea"	116	TRUE	TRUE	TRUE	TRUE
"77"	"Paramaledivibacter"	109	TRUE	TRUE	TRUE	TRUE
"119"	"Verrucomicrobiales"	104	FALSE	TRUE	TRUE	TRUE
"104"	"Shimia"	102	FALSE	TRUE	TRUE	TRUE
"66"	"ML602J.51"	98	FALSE	TRUE	TRUE	TRUE
"74"	"Oceanospirillum"	92	FALSE	FALSE	TRUE	TRUE
"26"	"Candidatus.Thiodiazotropha"	88	FALSE	FALSE	TRUE	TRUE
"24"	"Candidatus.Aquiluna"	86	FALSE	FALSE	TRUE	TRUE
"90"	"Psychrobium"	85	FALSE	FALSE	TRUE	TRUE
"68"	"Neptuniibacter"	81	FALSE	FALSE	FALSE	TRUE
"39"	"endosymbionts"	69	FALSE	FALSE	FALSE	FALSE
"116"	"Thalassolituus"	69	FALSE	FALSE	FALSE	FALSE
"114"	"Terasakiellaceae"	65	FALSE	FALSE	FALSE	FALSE
"120"	"Vibrio"	58	FALSE	FALSE	FALSE	FALSE
"53"	"HIMB11"	56	FALSE	FALSE	FALSE	FALSE
"62"	"MD3.55"	56	FALSE	FALSE	FALSE	FALSE
"14"	"Arthrospira.PCC.7345"	53	FALSE	FALSE	FALSE	FALSE
"45"	"Flavobacteriaceae"	53	FALSE	FALSE	FALSE	FALSE
"43"	"FGL7S"	52	FALSE	FALSE	FALSE	FALSE
"25"	"Candidatus.Obscuribacter"	49	FALSE	FALSE	FALSE	FALSE
"49"	"Granulosicoccus"	49	FALSE	FALSE	FALSE	FALSE
"61"	"Lishizhenia"	46	FALSE	FALSE	FALSE	FALSE
"40"	"Endozoicomonas"	43	FALSE	FALSE	FALSE	FALSE
"109"	"Sulfurovum"	43	FALSE	FALSE	FALSE	FALSE
"83"	"Profundimonas"	39	FALSE	FALSE	FALSE	FALSE
"79"	"Photobacterium"	37	FALSE	FALSE	FALSE	FALSE
"108"	"Sulfurimonas"	32	FALSE	FALSE	FALSE	FALSE
"13"	"Aquibacter"	31	FALSE	FALSE	FALSE	FALSE
"21"	"Bradyrhizobium"	30	FALSE	FALSE	FALSE	FALSE
"122"	"Xenococcus.PCC.7305"	30	FALSE	FALSE	FALSE	FALSE
"18"	"Bacteroidales"	23	FALSE	FALSE	FALSE	FALSE
"71"	"NS4.marine.group"	23	FALSE	FALSE	FALSE	FALSE
"115"	"Thalassobius"	23	FALSE	FALSE	FALSE	FALSE
"57"	"JTB215"	22	FALSE	FALSE	FALSE	FALSE
"78"	"Peptostreptococcales.Tissierellales"	22	FALSE	FALSE	FALSE	FALSE
"106"	"Staphylococcus"	22	FALSE	FALSE	FALSE	FALSE
"38"	"Dyella"	21	FALSE	FALSE	FALSE	FALSE
"118"	"UBA10353.marine.group"	21	FALSE	FALSE	FALSE	FALSE
"27"	"Clade.Ia"	20	FALSE	FALSE	FALSE	FALSE
"32"	"Cryomorphaceae"	20	FALSE	FALSE	FALSE	FALSE
"80"	"Planktotalea"	20	FALSE	FALSE	FALSE	FALSE
"87"	"Pseudoalteromonas"	20	FALSE	FALSE	FALSE	FALSE
"92"	"Renibacterium"	20	FALSE	FALSE	FALSE	FALSE
"93"	"Rhodobacteraceae"	20	FALSE	FALSE	FALSE	FALSE
"23"	"Candidatus.Actinomarina"	19	FALSE	FALSE	FALSE	FALSE
"55"	"Hyphomonas"	19	FALSE	FALSE	FALSE	FALSE
"89"	"Pseudooceanicola"	19	FALSE	FALSE	FALSE	FALSE
"112"	"Synechococcus.PCC.7336"	19	FALSE	FALSE	FALSE	FALSE
"6"	"AEGEAN.169.marine.group"	18	FALSE	FALSE	FALSE	FALSE
"7"	"Aestuariibacter"	18	FALSE	FALSE	FALSE	FALSE
"44"	"Filomicrobium"	18	FALSE	FALSE	FALSE	FALSE
"82"	"Prochlorococcus.MIT9313"	18	FALSE	FALSE	FALSE	FALSE
"107"	"Streptococcus"	18	FALSE	FALSE	FALSE	FALSE
"117"	"Thalassotalea"	18	FALSE	FALSE	FALSE	FALSE
"9"	"Aliiroseovarius"	17	FALSE	FALSE	FALSE	FALSE
"60"	"Leptolyngbyaceae"	17	FALSE	FALSE	FALSE	FALSE
"69"	"Nioella"	17	FALSE	FALSE	FALSE	FALSE
"75"	"OM60.NOR5..clade"	17	FALSE	FALSE	FALSE	FALSE
"103"	"SAR86.clade"	17	FALSE	FALSE	FALSE	FALSE
"52"	"Halomonas"	16	FALSE	FALSE	FALSE	FALSE
"63"	"Methylobacterium.Methylorubrum"	16	FALSE	FALSE	FALSE	FALSE
"111"	"Synechococcus.CC9902"	16	FALSE	FALSE	FALSE	FALSE
"15"	"Ascidiaceihabitans"	15	FALSE	FALSE	FALSE	FALSE
