""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"84"	"Rhodobacteraceae"	108	TRUE	TRUE	TRUE	TRUE
"90"	"Ruegeria"	108	TRUE	TRUE	TRUE	TRUE
"81"	"Pseudomonadales"	103	TRUE	TRUE	TRUE	TRUE
"91"	"Sandaracinaceae"	100	TRUE	TRUE	TRUE	TRUE
"51"	"Ilumatobacter"	96	FALSE	TRUE	TRUE	TRUE
"88"	"Rubripirellula"	92	FALSE	TRUE	TRUE	TRUE
"100"	"Synechococcus.CC9902"	91	FALSE	TRUE	TRUE	TRUE
"87"	"Roseitalea"	90	FALSE	TRUE	TRUE	TRUE
"65"	"Nioella"	89	FALSE	TRUE	TRUE	TRUE
"69"	"NS9.marine.group"	89	FALSE	TRUE	TRUE	TRUE
"60"	"Methyloceanibacter"	88	FALSE	TRUE	TRUE	TRUE
"5"	"Actinomarinales"	87	FALSE	TRUE	TRUE	TRUE
"78"	"PS1.clade"	87	FALSE	TRUE	TRUE	TRUE
"99"	"Sva0996.marine.group"	87	FALSE	TRUE	TRUE	TRUE
"49"	"Hoeflea"	86	FALSE	FALSE	TRUE	TRUE
"41"	"Fulvivirga"	85	FALSE	FALSE	TRUE	TRUE
"68"	"NS5.marine.group"	85	FALSE	FALSE	TRUE	TRUE
"32"	"Cyclobacteriaceae"	84	FALSE	FALSE	TRUE	TRUE
"95"	"Shimia"	84	FALSE	FALSE	TRUE	TRUE
"54"	"Klebsiella"	83	FALSE	FALSE	TRUE	TRUE
"4"	"Actibacterium"	82	FALSE	FALSE	TRUE	TRUE
"43"	"Halarcobacter"	82	FALSE	FALSE	TRUE	TRUE
"67"	"NS4.marine.group"	82	FALSE	FALSE	TRUE	TRUE
"104"	"UBA10353.marine.group"	82	FALSE	FALSE	TRUE	TRUE
"3"	"Actibacter"	81	FALSE	FALSE	TRUE	TRUE
"10"	"Amphritea"	81	FALSE	FALSE	TRUE	TRUE
"13"	"Aureisphaera"	81	FALSE	FALSE	TRUE	TRUE
"17"	"Blastopirellula"	81	FALSE	FALSE	TRUE	TRUE
"39"	"Filomicrobium"	81	FALSE	FALSE	TRUE	TRUE
"98"	"Sulfurimonadaceae"	81	FALSE	FALSE	TRUE	TRUE
"50"	"Hyphomonas"	80	FALSE	FALSE	TRUE	TRUE
"27"	"Cohaesibacter"	79	FALSE	FALSE	TRUE	TRUE
"105"	"Unknown.Family"	79	FALSE	FALSE	TRUE	TRUE
"24"	"Clostridiaceae"	78	FALSE	FALSE	TRUE	TRUE
"79"	"Pseudahrensia"	78	FALSE	FALSE	TRUE	TRUE
"8"	"Alteromonadaceae"	77	FALSE	FALSE	TRUE	TRUE
"48"	"HOC36"	77	FALSE	FALSE	TRUE	TRUE
"66"	"NS11.12.marine.group"	77	FALSE	FALSE	TRUE	TRUE
"82"	"Pseudooceanicola"	77	FALSE	FALSE	TRUE	TRUE
"108"	"Woeseia"	77	FALSE	FALSE	TRUE	TRUE
"30"	"Cryomorphaceae"	76	FALSE	FALSE	TRUE	TRUE
"42"	"Gammaproteobacteria"	76	FALSE	FALSE	TRUE	TRUE
"53"	"KI89A.clade"	76	FALSE	FALSE	TRUE	TRUE
"55"	"Leptolyngbyaceae"	76	FALSE	FALSE	TRUE	TRUE
"92"	"Saprospiraceae"	76	FALSE	FALSE	TRUE	TRUE
"97"	"Staphylococcus"	76	FALSE	FALSE	TRUE	TRUE
"22"	"Clade.II"	75	FALSE	FALSE	FALSE	TRUE
"35"	"Endozoicomonas"	75	FALSE	FALSE	FALSE	TRUE
"45"	"Halodesulfovibrio"	75	FALSE	FALSE	FALSE	TRUE
"61"	"Microbulbifer"	75	FALSE	FALSE	FALSE	TRUE
"16"	"Blastocatellaceae"	74	FALSE	FALSE	FALSE	TRUE
"33"	"Desulfocapsaceae"	74	FALSE	FALSE	FALSE	TRUE
"34"	"DEV007"	74	FALSE	FALSE	FALSE	TRUE
"46"	"Halomonas"	74	FALSE	FALSE	FALSE	TRUE
"71"	"Palleronia.Pseudomaribius"	74	FALSE	FALSE	FALSE	TRUE
"89"	"Rubritalea"	74	FALSE	FALSE	FALSE	TRUE
"94"	"SAR86.clade"	74	FALSE	FALSE	FALSE	TRUE
"101"	"Synechococcus.PCC.7336"	74	FALSE	FALSE	FALSE	TRUE
