""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"90"	"Ruegeria"	101	TRUE	TRUE	TRUE	TRUE
"67"	"NS4.marine.group"	99	TRUE	TRUE	TRUE	TRUE
"107"	"Vibrio"	89	FALSE	TRUE	TRUE	TRUE
"30"	"Cryomorphaceae"	86	FALSE	FALSE	TRUE	TRUE
"69"	"NS9.marine.group"	80	FALSE	FALSE	TRUE	TRUE
"73"	"Photobacterium"	80	FALSE	FALSE	TRUE	TRUE
"81"	"Pseudomonadales"	69	FALSE	FALSE	FALSE	TRUE
"8"	"Alteromonadaceae"	49	FALSE	FALSE	FALSE	FALSE
"40"	"Flavobacteriaceae"	48	FALSE	FALSE	FALSE	FALSE
"66"	"NS11.12.marine.group"	41	FALSE	FALSE	FALSE	FALSE
"46"	"Halomonas"	28	FALSE	FALSE	FALSE	FALSE
"99"	"Sva0996.marine.group"	25	FALSE	FALSE	FALSE	FALSE
"19"	"Candidatus.Aquiluna"	24	FALSE	FALSE	FALSE	FALSE
"75"	"Pirellulaceae"	24	FALSE	FALSE	FALSE	FALSE
"42"	"Gammaproteobacteria"	20	FALSE	FALSE	FALSE	FALSE
"7"	"Aestuariibacter"	17	FALSE	FALSE	FALSE	FALSE
"31"	"Cyanobium.PCC.6307"	17	FALSE	FALSE	FALSE	FALSE
"43"	"Halarcobacter"	17	FALSE	FALSE	FALSE	FALSE
"44"	"Halieaceae"	16	FALSE	FALSE	FALSE	FALSE
"68"	"NS5.marine.group"	16	FALSE	FALSE	FALSE	FALSE
"25"	"Clostridium.sensu.stricto.1"	13	FALSE	FALSE	FALSE	FALSE
"101"	"Synechococcus.PCC.7336"	10	FALSE	FALSE	FALSE	FALSE
"38"	"Erythrobacter"	9	FALSE	FALSE	FALSE	FALSE
"6"	"AEGEAN.169.marine.group"	8	FALSE	FALSE	FALSE	FALSE
"33"	"Desulfocapsaceae"	8	FALSE	FALSE	FALSE	FALSE
"36"	"Enterobacterales"	8	FALSE	FALSE	FALSE	FALSE
"10"	"Amphritea"	7	FALSE	FALSE	FALSE	FALSE
"62"	"ML602J.51"	7	FALSE	FALSE	FALSE	FALSE
"64"	"Neptuniibacter"	7	FALSE	FALSE	FALSE	FALSE
"77"	"Propionibacteriaceae"	7	FALSE	FALSE	FALSE	FALSE
"15"	"Blastocatella"	6	FALSE	FALSE	FALSE	FALSE
"20"	"Catenococcus"	6	FALSE	FALSE	FALSE	FALSE
"82"	"Pseudooceanicola"	6	FALSE	FALSE	FALSE	FALSE
"98"	"Sulfurimonadaceae"	6	FALSE	FALSE	FALSE	FALSE
"27"	"Cohaesibacter"	5	FALSE	FALSE	FALSE	FALSE
"65"	"Nioella"	5	FALSE	FALSE	FALSE	FALSE
"18"	"Brevundimonas"	4	FALSE	FALSE	FALSE	FALSE
"37"	"Epibacterium"	4	FALSE	FALSE	FALSE	FALSE
"56"	"Lutimonas"	4	FALSE	FALSE	FALSE	FALSE
"61"	"Microbulbifer"	4	FALSE	FALSE	FALSE	FALSE
"83"	"Pseudoruegeria"	4	FALSE	FALSE	FALSE	FALSE
"100"	"Synechococcus.CC9902"	4	FALSE	FALSE	FALSE	FALSE
"1"	"X.Desulfobacterium..catecholicum.group"	3	FALSE	FALSE	FALSE	FALSE
"26"	"Cognatishimia"	3	FALSE	FALSE	FALSE	FALSE
"29"	"Crocinitomicaceae"	3	FALSE	FALSE	FALSE	FALSE
"35"	"Endozoicomonas"	3	FALSE	FALSE	FALSE	FALSE
"48"	"HOC36"	3	FALSE	FALSE	FALSE	FALSE
"53"	"KI89A.clade"	3	FALSE	FALSE	FALSE	FALSE
"55"	"Leptolyngbyaceae"	3	FALSE	FALSE	FALSE	FALSE
"57"	"Malaciobacter"	3	FALSE	FALSE	FALSE	FALSE
"58"	"Marinovum"	3	FALSE	FALSE	FALSE	FALSE
"59"	"Methylobacterium.Methylorubrum"	3	FALSE	FALSE	FALSE	FALSE
"60"	"Methyloceanibacter"	3	FALSE	FALSE	FALSE	FALSE
"89"	"Rubritalea"	3	FALSE	FALSE	FALSE	FALSE
"92"	"Saprospiraceae"	3	FALSE	FALSE	FALSE	FALSE
"96"	"Sporichthyaceae"	3	FALSE	FALSE	FALSE	FALSE
"104"	"UBA10353.marine.group"	3	FALSE	FALSE	FALSE	FALSE
"3"	"Actibacter"	2	FALSE	FALSE	FALSE	FALSE
"13"	"Aureisphaera"	2	FALSE	FALSE	FALSE	FALSE
"17"	"Blastopirellula"	2	FALSE	FALSE	FALSE	FALSE
"22"	"Clade.II"	2	FALSE	FALSE	FALSE	FALSE
"28"	"Cribrihabitans"	2	FALSE	FALSE	FALSE	FALSE
"39"	"Filomicrobium"	2	FALSE	FALSE	FALSE	FALSE
"41"	"Fulvivirga"	2	FALSE	FALSE	FALSE	FALSE
"54"	"Klebsiella"	2	FALSE	FALSE	FALSE	FALSE
"71"	"Palleronia.Pseudomaribius"	2	FALSE	FALSE	FALSE	FALSE
"72"	"Paramoritella"	2	FALSE	FALSE	FALSE	FALSE
"78"	"PS1.clade"	2	FALSE	FALSE	FALSE	FALSE
"79"	"Pseudahrensia"	2	FALSE	FALSE	FALSE	FALSE
"86"	"Roseibacillus"	2	FALSE	FALSE	FALSE	FALSE
"88"	"Rubripirellula"	2	FALSE	FALSE	FALSE	FALSE
"94"	"SAR86.clade"	2	FALSE	FALSE	FALSE	FALSE
"102"	"Thalassobius"	2	FALSE	FALSE	FALSE	FALSE
"105"	"Unknown.Family"	2	FALSE	FALSE	FALSE	FALSE
"5"	"Actinomarinales"	1	FALSE	FALSE	FALSE	FALSE
"11"	"Ascidiaceihabitans"	1	FALSE	FALSE	FALSE	FALSE
"12"	"Aurantivirga"	1	FALSE	FALSE	FALSE	FALSE
"32"	"Cyclobacteriaceae"	1	FALSE	FALSE	FALSE	FALSE
"49"	"Hoeflea"	1	FALSE	FALSE	FALSE	FALSE
"50"	"Hyphomonas"	1	FALSE	FALSE	FALSE	FALSE
"51"	"Ilumatobacter"	1	FALSE	FALSE	FALSE	FALSE
"63"	"Nautella"	1	FALSE	FALSE	FALSE	FALSE
"76"	"Porticoccus"	1	FALSE	FALSE	FALSE	FALSE
"80"	"Pseudoalteromonas"	1	FALSE	FALSE	FALSE	FALSE
"91"	"Sandaracinaceae"	1	FALSE	FALSE	FALSE	FALSE
"95"	"Shimia"	1	FALSE	FALSE	FALSE	FALSE
"97"	"Staphylococcus"	1	FALSE	FALSE	FALSE	FALSE
"103"	"Thalassotalea"	1	FALSE	FALSE	FALSE	FALSE
"106"	"Urania.1B.19.marine.sediment.group"	1	FALSE	FALSE	FALSE	FALSE
"109"	"Xenococcus.PCC.7305"	1	FALSE	FALSE	FALSE	FALSE
"2"	"Acinetobacter"	0	FALSE	FALSE	FALSE	FALSE
"4"	"Actibacterium"	0	FALSE	FALSE	FALSE	FALSE
"9"	"Alteromonas"	0	FALSE	FALSE	FALSE	FALSE
"14"	"Bacteria"	0	FALSE	FALSE	FALSE	FALSE
"16"	"Blastocatellaceae"	0	FALSE	FALSE	FALSE	FALSE
"21"	"Clade.Ia"	0	FALSE	FALSE	FALSE	FALSE
"23"	"Clade.III"	0	FALSE	FALSE	FALSE	FALSE
"24"	"Clostridiaceae"	0	FALSE	FALSE	FALSE	FALSE
"34"	"DEV007"	0	FALSE	FALSE	FALSE	FALSE
"45"	"Halodesulfovibrio"	0	FALSE	FALSE	FALSE	FALSE
"47"	"HIMB11"	0	FALSE	FALSE	FALSE	FALSE
"52"	"KD4.96"	0	FALSE	FALSE	FALSE	FALSE
"70"	"OM60.NOR5..clade"	0	FALSE	FALSE	FALSE	FALSE
"74"	"Pirellula"	0	FALSE	FALSE	FALSE	FALSE
"84"	"Rhodobacteraceae"	0	FALSE	FALSE	FALSE	FALSE
"85"	"Rhodopirellula"	0	FALSE	FALSE	FALSE	FALSE
"87"	"Roseitalea"	0	FALSE	FALSE	FALSE	FALSE
"93"	"SAR116.clade"	0	FALSE	FALSE	FALSE	FALSE
"108"	"Woeseia"	0	FALSE	FALSE	FALSE	FALSE
