""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"51"	"Halodesulfovibrio"	121	TRUE	TRUE	TRUE	TRUE
"99"	"Rubritalea"	119	TRUE	TRUE	TRUE	TRUE
"95"	"Roseibacillus"	117	TRUE	TRUE	TRUE	TRUE
"77"	"Paramaledivibacter"	110	TRUE	TRUE	TRUE	TRUE
"119"	"Verrucomicrobiales"	105	FALSE	TRUE	TRUE	TRUE
"104"	"Shimia"	98	FALSE	TRUE	TRUE	TRUE
"66"	"ML602J.51"	91	FALSE	FALSE	TRUE	TRUE
"90"	"Psychrobium"	91	FALSE	FALSE	TRUE	TRUE
"26"	"Candidatus.Thiodiazotropha"	89	FALSE	FALSE	TRUE	TRUE
"74"	"Oceanospirillum"	89	FALSE	FALSE	TRUE	TRUE
"116"	"Thalassolituus"	80	FALSE	FALSE	FALSE	TRUE
"68"	"Neptuniibacter"	79	FALSE	FALSE	FALSE	TRUE
"24"	"Candidatus.Aquiluna"	69	FALSE	FALSE	FALSE	FALSE
"53"	"HIMB11"	60	FALSE	FALSE	FALSE	FALSE
"43"	"FGL7S"	56	FALSE	FALSE	FALSE	FALSE
"62"	"MD3.55"	55	FALSE	FALSE	FALSE	FALSE
"120"	"Vibrio"	52	FALSE	FALSE	FALSE	FALSE
"114"	"Terasakiellaceae"	51	FALSE	FALSE	FALSE	FALSE
"45"	"Flavobacteriaceae"	47	FALSE	FALSE	FALSE	FALSE
"14"	"Arthrospira.PCC.7345"	45	FALSE	FALSE	FALSE	FALSE
"61"	"Lishizhenia"	45	FALSE	FALSE	FALSE	FALSE
"39"	"endosymbionts"	44	FALSE	FALSE	FALSE	FALSE
"40"	"Endozoicomonas"	44	FALSE	FALSE	FALSE	FALSE
"49"	"Granulosicoccus"	42	FALSE	FALSE	FALSE	FALSE
"83"	"Profundimonas"	38	FALSE	FALSE	FALSE	FALSE
"108"	"Sulfurimonas"	35	FALSE	FALSE	FALSE	FALSE
"109"	"Sulfurovum"	34	FALSE	FALSE	FALSE	FALSE
"122"	"Xenococcus.PCC.7305"	31	FALSE	FALSE	FALSE	FALSE
"79"	"Photobacterium"	30	FALSE	FALSE	FALSE	FALSE
"13"	"Aquibacter"	28	FALSE	FALSE	FALSE	FALSE
"25"	"Candidatus.Obscuribacter"	26	FALSE	FALSE	FALSE	FALSE
"38"	"Dyella"	23	FALSE	FALSE	FALSE	FALSE
"27"	"Clade.Ia"	22	FALSE	FALSE	FALSE	FALSE
"57"	"JTB215"	22	FALSE	FALSE	FALSE	FALSE
"87"	"Pseudoalteromonas"	22	FALSE	FALSE	FALSE	FALSE
"106"	"Staphylococcus"	22	FALSE	FALSE	FALSE	FALSE
"115"	"Thalassobius"	22	FALSE	FALSE	FALSE	FALSE
"18"	"Bacteroidales"	21	FALSE	FALSE	FALSE	FALSE
"71"	"NS4.marine.group"	21	FALSE	FALSE	FALSE	FALSE
"78"	"Peptostreptococcales.Tissierellales"	21	FALSE	FALSE	FALSE	FALSE
"92"	"Renibacterium"	21	FALSE	FALSE	FALSE	FALSE
"52"	"Halomonas"	20	FALSE	FALSE	FALSE	FALSE
"112"	"Synechococcus.PCC.7336"	20	FALSE	FALSE	FALSE	FALSE
"6"	"AEGEAN.169.marine.group"	18	FALSE	FALSE	FALSE	FALSE
"23"	"Candidatus.Actinomarina"	18	FALSE	FALSE	FALSE	FALSE
"32"	"Cryomorphaceae"	18	FALSE	FALSE	FALSE	FALSE
"36"	"Desulfocapsaceae"	18	FALSE	FALSE	FALSE	FALSE
"59"	"Lawsonella"	18	FALSE	FALSE	FALSE	FALSE
"117"	"Thalassotalea"	18	FALSE	FALSE	FALSE	FALSE
"7"	"Aestuariibacter"	17	FALSE	FALSE	FALSE	FALSE
"60"	"Leptolyngbyaceae"	17	FALSE	FALSE	FALSE	FALSE
"82"	"Prochlorococcus.MIT9313"	17	FALSE	FALSE	FALSE	FALSE
"9"	"Aliiroseovarius"	16	FALSE	FALSE	FALSE	FALSE
"75"	"OM60.NOR5..clade"	16	FALSE	FALSE	FALSE	FALSE
"103"	"SAR86.clade"	16	FALSE	FALSE	FALSE	FALSE
"21"	"Bradyrhizobium"	15	FALSE	FALSE	FALSE	FALSE
"48"	"Gammaproteobacteria"	15	FALSE	FALSE	FALSE	FALSE
"70"	"NS11.12.marine.group"	15	FALSE	FALSE	FALSE	FALSE
"80"	"Planktotalea"	14	FALSE	FALSE	FALSE	FALSE
"118"	"UBA10353.marine.group"	14	FALSE	FALSE	FALSE	FALSE
"63"	"Methylobacterium.Methylorubrum"	13	FALSE	FALSE	FALSE	FALSE
"69"	"Nioella"	13	FALSE	FALSE	FALSE	FALSE
"84"	"Propionibacteriaceae"	13	FALSE	FALSE	FALSE	FALSE
"89"	"Pseudooceanicola"	13	FALSE	FALSE	FALSE	FALSE
"121"	"Woeseia"	13	FALSE	FALSE	FALSE	FALSE
"17"	"Aureisphaera"	12	FALSE	FALSE	FALSE	FALSE
"42"	"Epibacterium"	12	FALSE	FALSE	FALSE	FALSE
"94"	"Rhodopirellula"	12	FALSE	FALSE	FALSE	FALSE
"96"	"Roseitalea"	12	FALSE	FALSE	FALSE	FALSE
"102"	"Saprospiraceae"	12	FALSE	FALSE	FALSE	FALSE
"113"	"Tenacibaculum"	12	FALSE	FALSE	FALSE	FALSE
"15"	"Ascidiaceihabitans"	11	FALSE	FALSE	FALSE	FALSE
"22"	"Brevundimonas"	11	FALSE	FALSE	FALSE	FALSE
"47"	"Fusibacter"	11	FALSE	FALSE	FALSE	FALSE
"55"	"Hyphomonas"	11	FALSE	FALSE	FALSE	FALSE
"58"	"KD4.96"	11	FALSE	FALSE	FALSE	FALSE
"81"	"Porticoccus"	11	FALSE	FALSE	FALSE	FALSE
"105"	"Sporichthyaceae"	11	FALSE	FALSE	FALSE	FALSE
"12"	"Aquabacterium"	10	FALSE	FALSE	FALSE	FALSE
"16"	"Aurantivirga"	10	FALSE	FALSE	FALSE	FALSE
"37"	"DEV007"	10	FALSE	FALSE	FALSE	FALSE
"4"	"Actibacterium"	9	FALSE	FALSE	FALSE	FALSE
"33"	"Cyanobium.PCC.6307"	9	FALSE	FALSE	FALSE	FALSE
"76"	"Palleronia.Pseudomaribius"	9	FALSE	FALSE	FALSE	FALSE
"85"	"PS1.clade"	9	FALSE	FALSE	FALSE	FALSE
"86"	"Pseudahrensia"	9	FALSE	FALSE	FALSE	FALSE
"2"	"Acinetobacter"	8	FALSE	FALSE	FALSE	FALSE
"20"	"Blastopirellula"	8	FALSE	FALSE	FALSE	FALSE
"29"	"Cohaesibacter"	8	FALSE	FALSE	FALSE	FALSE
"34"	"Cyclobacteriaceae"	8	FALSE	FALSE	FALSE	FALSE
"46"	"Fulvivirga"	8	FALSE	FALSE	FALSE	FALSE
"97"	"Roseivirga"	8	FALSE	FALSE	FALSE	FALSE
"110"	"Sva0996.marine.group"	8	FALSE	FALSE	FALSE	FALSE
"111"	"Synechococcus.CC9902"	8	FALSE	FALSE	FALSE	FALSE
"3"	"Actibacter"	7	FALSE	FALSE	FALSE	FALSE
"5"	"Actinomarinales"	7	FALSE	FALSE	FALSE	FALSE
"10"	"Alteromonas"	7	FALSE	FALSE	FALSE	FALSE
"11"	"Amphritea"	7	FALSE	FALSE	FALSE	FALSE
"28"	"Cognatishimia"	7	FALSE	FALSE	FALSE	FALSE
"35"	"Delftia"	7	FALSE	FALSE	FALSE	FALSE
"50"	"Halarcobacter"	7	FALSE	FALSE	FALSE	FALSE
"64"	"Methyloceanibacter"	7	FALSE	FALSE	FALSE	FALSE
"65"	"Micrococcus"	7	FALSE	FALSE	FALSE	FALSE
"72"	"NS5.marine.group"	7	FALSE	FALSE	FALSE	FALSE
"88"	"Pseudomonas"	7	FALSE	FALSE	FALSE	FALSE
"91"	"Ralstonia"	7	FALSE	FALSE	FALSE	FALSE
"98"	"Rubripirellula"	7	FALSE	FALSE	FALSE	FALSE
"107"	"Streptococcus"	7	FALSE	FALSE	FALSE	FALSE
"1"	"Acidovorax"	6	FALSE	FALSE	FALSE	FALSE
"30"	"Comamonadaceae"	6	FALSE	FALSE	FALSE	FALSE
"44"	"Filomicrobium"	6	FALSE	FALSE	FALSE	FALSE
"54"	"Hoeflea"	6	FALSE	FALSE	FALSE	FALSE
"56"	"Ilumatobacter"	6	FALSE	FALSE	FALSE	FALSE
"8"	"Algicola"	5	FALSE	FALSE	FALSE	FALSE
"19"	"Blastocatellaceae"	5	FALSE	FALSE	FALSE	FALSE
"31"	"Corynebacterium"	5	FALSE	FALSE	FALSE	FALSE
"41"	"Enhydrobacter"	5	FALSE	FALSE	FALSE	FALSE
"73"	"NS9.marine.group"	5	FALSE	FALSE	FALSE	FALSE
"67"	"Nautella"	4	FALSE	FALSE	FALSE	FALSE
"93"	"Rhodobacteraceae"	4	FALSE	FALSE	FALSE	FALSE
"100"	"Ruegeria"	4	FALSE	FALSE	FALSE	FALSE
"101"	"Sandaracinaceae"	4	FALSE	FALSE	FALSE	FALSE
