""	"otu.names"	"W_stat"	"detected_0.9"	"detected_0.8"	"detected_0.7"	"detected_0.6"
"75"	"Pirellulaceae"	38	FALSE	FALSE	FALSE	FALSE
"99"	"Sva0996.marine.group"	23	FALSE	FALSE	FALSE	FALSE
"42"	"Gammaproteobacteria"	21	FALSE	FALSE	FALSE	FALSE
"100"	"Synechococcus.CC9902"	3	FALSE	FALSE	FALSE	FALSE
"67"	"NS4.marine.group"	2	FALSE	FALSE	FALSE	FALSE
"69"	"NS9.marine.group"	2	FALSE	FALSE	FALSE	FALSE
"98"	"Sulfurimonadaceae"	2	FALSE	FALSE	FALSE	FALSE
"25"	"Clostridium.sensu.stricto.1"	1	FALSE	FALSE	FALSE	FALSE
"35"	"Endozoicomonas"	1	FALSE	FALSE	FALSE	FALSE
"59"	"Methylobacterium.Methylorubrum"	1	FALSE	FALSE	FALSE	FALSE
"66"	"NS11.12.marine.group"	1	FALSE	FALSE	FALSE	FALSE
"1"	"X.Desulfobacterium..catecholicum.group"	0	FALSE	FALSE	FALSE	FALSE
"2"	"Acinetobacter"	0	FALSE	FALSE	FALSE	FALSE
"3"	"Actibacter"	0	FALSE	FALSE	FALSE	FALSE
"4"	"Actibacterium"	0	FALSE	FALSE	FALSE	FALSE
"5"	"Actinomarinales"	0	FALSE	FALSE	FALSE	FALSE
"6"	"AEGEAN.169.marine.group"	0	FALSE	FALSE	FALSE	FALSE
"7"	"Aestuariibacter"	0	FALSE	FALSE	FALSE	FALSE
"8"	"Alteromonadaceae"	0	FALSE	FALSE	FALSE	FALSE
"9"	"Alteromonas"	0	FALSE	FALSE	FALSE	FALSE
"10"	"Amphritea"	0	FALSE	FALSE	FALSE	FALSE
"11"	"Ascidiaceihabitans"	0	FALSE	FALSE	FALSE	FALSE
"12"	"Aurantivirga"	0	FALSE	FALSE	FALSE	FALSE
"13"	"Aureisphaera"	0	FALSE	FALSE	FALSE	FALSE
"14"	"Bacteria"	0	FALSE	FALSE	FALSE	FALSE
"15"	"Blastocatella"	0	FALSE	FALSE	FALSE	FALSE
"16"	"Blastocatellaceae"	0	FALSE	FALSE	FALSE	FALSE
"17"	"Blastopirellula"	0	FALSE	FALSE	FALSE	FALSE
"18"	"Brevundimonas"	0	FALSE	FALSE	FALSE	FALSE
"19"	"Candidatus.Aquiluna"	0	FALSE	FALSE	FALSE	FALSE
"20"	"Catenococcus"	0	FALSE	FALSE	FALSE	FALSE
"21"	"Clade.Ia"	0	FALSE	FALSE	FALSE	FALSE
"22"	"Clade.II"	0	FALSE	FALSE	FALSE	FALSE
"23"	"Clade.III"	0	FALSE	FALSE	FALSE	FALSE
"24"	"Clostridiaceae"	0	FALSE	FALSE	FALSE	FALSE
