""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"01DD-1573"	1604	1403	1320	1162	1162
"02HD-1644"	1210	165	76	73	73
"03HD-1876"	160	86	49	36	36
"04DD-1876"	3690	2591	2279	1773	1773
"05HD-1572"	737	199	149	135	135
"06HD-1860"	179	25	7	5	5
"07DD-1860"	11705	4762	4573	4149	4149
"08HD-1573"	1586	518	462	397	397
"10HD-1692"	7671	2514	2452	2351	2351
"16HD-1681"	91	6	1	0	0
"22HD-1823"	5400	4651	4610	4427	4427
"23DD-1823"	7789	4788	4440	3919	3919
"24HD-1572"	666	554	500	444	444
"25DD-1572"	711	544	522	502	502
"26DD-1573"	1320	1112	1002	836	836
"27DD-1876"	3803	2794	2559	2177	2177
"28DD-1692"	1545	1303	1278	1254	1254
"29DD-1644"	446	254	175	135	135
"30DD-1860"	24757	22437	22189	21466	21466
"31HD-2095"	176	18	2	2	2
"32HD-1830"	25	6	1	0	0
"33HD-1694"	2135	1720	1658	1558	1558
"36HD-1647"	60	21	12	10	10
"37HD-1826"	656	516	465	450	450
"38HD-1167"	5947	5131	5077	4981	4981
"39DD-1657"	3503	2630	2415	2174	2174
"40HD-1553"	594	154	106	103	103
"41HD-1562"	2183	1554	1501	1359	1359
"42HD-2487"	173	28	20	20	20
"43DD-2487"	118	52	41	38	38
"45HD-1564"	862	609	560	541	541
"46HD-1860"	71	16	1	0	0
"47HD-1573"	582	252	195	193	193
"48HD-1644"	1940	798	725	598	598
"49HD-1573"	16	1	1	1	1
"51HD-1876"	51	7	3	3	3
"52HD-1652"	38	4	2	2	2
"53HD-1824"	16	13	7	7	7
"54HD-1832"	81	10	3	3	3
"55DD-1564"	2173	1928	1769	1551	1551
"61DD-1572"	501	103	73	61	61
"62DD-1823"	7163	6563	6378	6099	6099
"63HD-1823"	372	48	20	14	14
"64HD-2487"	245	34	22	19	19
"66HD-1652"	757	320	248	159	159
"67HD-1826"	1574	1043	982	891	891
"68HD-1553"	242	90	62	57	57
"69HD-1830"	1379	940	815	708	708
"70HD-1694"	1648	1372	1352	1318	1318
"71HD-1647"	1192	450	385	356	356
"72HD-1824"	1746	1321	1277	1118	1118
"73HD-1562"	85	16	2	0	0
"74HD-2095"	383	38	20	17	17
"75HD-1681"	33	12	5	5	5
"76HD-1692"	48	19	14	14	14
"77HD-1832"	117	51	22	20	20
"86DD-2487"	11038	8870	8483	7808	7808
"87HD-1564"	469	170	154	146	146
"88HD-1657"	5615	4223	3761	2950	2950
"89DD-1657"	1054	456	336	229	229
"90DD-1564"	10372	8818	8143	6682	6682
