""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"BS2-1566-DD_S25_L001_R1_cut.fastq.gz"	36122	31423	30169	28008	28008
"BS2-1566-HD_S37_L001_R1_cut.fastq.gz"	52969	47942	47200	46923	46923
"BS2-1689-DD_S38_L001_R1_cut.fastq.gz"	13036	10905	10764	10752	10752
"BS2-1689-HD_S34_L001_R1_cut.fastq.gz"	28451	11773	8966	8926	8926
"BS2-1842-HD_S32_L001_R1_cut.fastq.gz"	133035	113825	113089	111648	111648
"BS2-1925-HD_S39_L001_R1_cut.fastq.gz"	23966	20668	20232	19657	19657
"BS2-2006-DD_S13_L001_R1_cut.fastq.gz"	57843	35955	30356	25064	25064
"BS2-2006-HD_S35_L001_R1_cut.fastq.gz"	35861	15883	15026	14950	14950
"BS2-2019-HD_S12_L001_R1_cut.fastq.gz"	72352	53330	52818	51865	51865
"BS2-2048-DD_S14_L001_R1_cut.fastq.gz"	106372	50275	40025	37249	37249
"BS2-2065-DD_S26_L001_R1_cut.fastq.gz"	20342	12576	10795	10439	10439
"BS2-2065-HD_S30_L001_R1_cut.fastq.gz"	30571	27925	27495	27329	27329
"BS2-2076-HD_S15_L001_R1_cut.fastq.gz"	46298	29073	25385	23261	23261
"BS2-2077-DD_S64_L001_R1_cut.fastq.gz"	385029	368113	367613	352222	352222
"BS2-2078-HD_S10_L001_R1_cut.fastq.gz"	30931	19451	17430	17262	17262
"BS2-2079-DD_S8_L001_R1_cut.fastq.gz"	68527	55817	55023	54783	54783
"BS2-2079-HD_S16_L001_R1_cut.fastq.gz"	56191	28583	21237	19187	19187
"BS2-2091-DD_S27_L001_R1_cut.fastq.gz"	78115	63637	61560	60627	60627
"BS2-2091-HD_S66_L001_R1_cut.fastq.gz"	8873	5261	4662	4653	4653
"BS2-2149-HD_S31_L001_R1_cut.fastq.gz"	163930	134386	132843	132211	132211
"BS2-2155-DD_S40_L001_R1_cut.fastq.gz"	156559	132979	129285	126885	126885
"BS2-2155-HD_S17_L001_R1_cut.fastq.gz"	65632	18520	7570	6286	6286
"BS2-2180-DD_S41_L001_R1_cut.fastq.gz"	147735	133202	131707	130258	130258
"BS2-2180-HD_S63_L001_R1_cut.fastq.gz"	43075	35309	33591	32822	32822
"BS2-2407-HD_S28_L001_R1_cut.fastq.gz"	44467	36077	35328	35165	35165
"BS2-2415-HD_S18_L001_R1_cut.fastq.gz"	84694	66912	63294	61448	61448
"BS2-2432-HD_S65_L001_R1_cut.fastq.gz"	25135	13324	13129	12113	12113
"BS2-2433-HD_S9_L001_R1_cut.fastq.gz"	16408	14218	14088	14058	14058
"BS2-2453-HD_S5_L001_R1_cut.fastq.gz"	38124	34830	34580	33809	33809
"BS2-2460-HD_S36_L001_R1_cut.fastq.gz"	32121	27816	27253	26785	26785
"BS2-2464-DD_S19_L001_R1_cut.fastq.gz"	66284	48923	44329	39310	39310
"BS2-2474-DD_S20_L001_R1_cut.fastq.gz"	206019	185030	181660	169598	169598
"BS2-2474-HD_S29_L001_R1_cut.fastq.gz"	93771	58441	56253	55721	55721
"BS2-2475-DD_S67_L001_R1_cut.fastq.gz"	111032	102434	101651	100977	100977
"BS2-2475-HD_S2_L001_R1_cut.fastq.gz"	33107	19744	19251	19172	19172
"BS2-2478-HD_S42_L001_R1_cut.fastq.gz"	70965	27755	11509	9294	9294
"BS2-2479-DD_S4_L001_R1_cut.fastq.gz"	123507	88166	87152	86448	86448
"BS2-2479-HD_S21_L001_R1_cut.fastq.gz"	80642	40120	27676	25466	25466
"BS2-2480-DD_S43_L001_R1_cut.fastq.gz"	128578	93858	88970	87510	87510
"BS2-2480-HD_S22_L001_R1_cut.fastq.gz"	67470	42087	35697	34947	34947
"BS2-2483-DD_S23_L001_R1_cut.fastq.gz"	31582	15095	10196	8341	8341
"BS2-2499-HD_S6_L001_R1_cut.fastq.gz"	141693	123403	121442	118824	118824
"BS2-2500-DD_S11_L001_R1_cut.fastq.gz"	80516	75138	74985	74348	74348
"BS2-2500-HD_S44_L001_R1_cut.fastq.gz"	125131	109533	107880	106225	106225
"BS2-2652-DD_S7_L001_R1_cut.fastq.gz"	178982	165189	162746	160052	160052
"BS2-2652-HD_S59_L001_R1_cut.fastq.gz"	26645	7983	7789	7778	7778
"BS2-2661-DD_S33_L001_R1_cut.fastq.gz"	4582	4391	4364	4364	4364
"BS2-2661-HD_S3_L001_R1_cut.fastq.gz"	27926	23987	23838	23136	23136
"BS2-2662-HH_S1_L001_R1_cut.fastq.gz"	5387	4647	4514	4512	4512
"BS2-2673-HH_S45_L001_R1_cut.fastq.gz"	63036	43357	39415	38660	38660
"BS2-2674-DD_S68_L001_R1_cut.fastq.gz"	32339	30084	29920	29833	29833
"BS2-2674-HD_S49_L001_R1_cut.fastq.gz"	12873	6199	5917	5904	5904
"BS2-2675-HD_S46_L001_R1_cut.fastq.gz"	110929	97955	96322	95635	95635
"BS2-2683-HH_S24_L001_R1_cut.fastq.gz"	35059	21596	18266	17287	17287
"BS2-2685-HD_S50_L001_R1_cut.fastq.gz"	4026	3548	3512	3508	3508
"BS2-2693-HD_S47_L001_R1_cut.fastq.gz"	88069	76693	75960	75421	75421
"BS2-2694-HH_S48_L001_R1_cut.fastq.gz"	109713	96376	95162	93702	93702
