sample	tag	treatment	site	species	condition	treated	month
01DD-1573	1573	probiotic bag	BS1	MCAV	DD	YES	
02HD-1644	1644	control bag	BS1	MCAV	HD	NO	
03HD-1876	1876	control bag	BS1	MCAV	HD	NO	
04DD-1876	1876	probiotic bag	BS1	MCAV	DD	YES	
05HD-1572	1572	probiotic bag	BS1	MCAV	HD	YES	
06HD-1860	1860	probiotic bag	BS1	MCAV	HD	YES	
07DD-1860	1860	probiotic bag	BS1	MCAV	DD	YES	
08HD-1573	1573	probiotic bag	BS1	MCAV	HD	YES	
10HD-1692	1692	control bag	BS1	MCAV	HD	NO	
16HD-1681	1681	control bag	BS1	MCAV	HH	NO	
22HD-1823	1823	probiotic bag	BS1	MCAV	HD	YES	
23DD-1823	1823	probiotic bag	BS1	MCAV	DD	YES	
24HD-1572	1572	probiotic bag	BS1	MCAV	HD	YES	
25DD-1572	1572	probiotic bag	BS1	MCAV	DD	YES	
26DD-1573	1573	probiotic bag	BS1	MCAV	DD	YES	
27DD-1876	1876	control bag	BS1	MCAV	DD	NO	
28HH-1692	1692	control bag	BS1	MCAV	HH	NO	
29DD-1644	1644	control bag	BS1	MCAV	DD	NO	
30DD-1860	1860	probiotic bag	BS1	MCAV	DD	YES	
31HD-2095	2095	control bag	BS1	MCAV	HH	NO	
32HD-1830	1830	control bag	BS1	MCAV	HH	NO	
33HD-1694	1694	probiotic bag	BS1	MCAV	HH	YES	
36HD-1647	1647	control bag	BS1	MCAV	HH	NO	
37HD-1826	1826	probiotic bag	BS1	MCAV	HH	YES	
38HD-1167	1657	probiotic bag	BS1	MCAV	HD	YES	
39DD-1657	1657	probiotic bag	BS1	MCAV	DD	YES	
40HD-1553	1553	control bag	BS1	MCAV	HH	NO	
41HD-1562	1562	probiotic bag	BS1	MCAV	HH	YES	
42HD-2487	2487	probiotic bag	BS1	MCAV	HD	YES	
43DD-2487	2487	probiotic bag	BS1	MCAV	DD	YES	
45HD-1564	1564	probiotic bag	BS1	MCAV	HD	YES	
46HD-1860	1860	probiotic bag	BS1	MCAV	HD	YES	
47HD-1573	1573	probiotic bag	BS1	MCAV	HD	YES	
48HD-1644	1664	probiotic bag	BS1	MCAV	HD	YES	
51HD-1876	1876	probiotic bag	BS1	MCAV	HD	YES	
52HD-1652	1652	control bag	BS1	MCAV	HH	NO	
53HD-1824	1824	probiotic bag	BS1	MCAV	HH	YES	
54HD-1832	1832	probiotic bag	BS1	MCAV	HH	YES	
55DD-1564	1564	probiotic bag	BS1	MCAV	DD	YES	
61DD-1572	1572	probiotic bag	BS1	MCAV	DD	YES	
62DD-1823	1823	probiotic bag	BS1	MCAV	DD	YES	
63HD-1823	1823	probiotic bag	BS1	MCAV	HD	YES	
64HD-2487	2487	probiotic bag	BS1	MCAV	HD	YES	
66HD-1652	1652	control bag	BS1	MCAV	HH	NO	
67HD-1826	1826	probiotic bag	BS1	MCAV	HH	YES	
68HD-1553	1553	control bag	BS1	MCAV	HH	NO	
69HD-1830	1830	control bag	BS1	MCAV	HH	NO	
70HD-1694	1694	probiotic bag	BS1	MCAV	HH	YES	
71HD-1647	1647	control bag	BS1	MCAV	HH	NO	
72HD-1824	1824	probiotic bag	BS1	MCAV	HH	YES	
73HD-1562	1562	probiotic bag	BS1	MCAV	HH	YES	
74HD-2095	2095	control bag	BS1	MCAV	HH	NO	
75HD-1681	1681	control bag	BS1	MCAV	HH	NO	
76HD-1692	1692	control bag	BS1	MCAV	HH	NO	
77HD-1832	1832	probiotic bag	BS1	MCAV	HH	YES	
86DD-2487	2487	probiotic bag	BS1	MCAV	DD	YES	
