	Tag ID	Site	Species	Month	Treatment	Health 
BS3-2041-HD-A	2041	BS3	MCAV	July	Untreated	HD
BS3-2041-DD-A	2041	BS3	MCAV	July	Untreated	DD
BS3-2362-HD-A	2362	BS3	MCAV	July	Untreated	HD
BS3-2512-HD-A	2512	BS3	MCAV	July	Untreated	HD
BS3-2512-DD-A	2512	BS3	MCAV	July	Untreated	DD
BS3-2549-HD-A	2549	BS3	MCAV	July	Untreated	HD
BS3-2549-DD-A	2549	BS3	MCAV	July	Untreated	DD
BS3-2799-HD-A	2799	BS3	MCAV	July	Untreated	HD
BS3-2799-DD-A	2799	BS3	MCAV	July	Untreated	DD
BS3-2513-HD-A	2513	BS3	MCAV	July	Untreated	HD
BS3-2513-DD-A	2513	BS3	MCAV	July	Untreated	DD
BS3-2265-HD-A	2265	BS3	MCAV	July	Untreated	HD
BS3-2265-DD-A	2265	BS3	MCAV	July	Untreated	DD
BS3-2365-HD-A	2365	BS3	MCAV	July	Untreated	HD
BS3-2365-DD-A	2365	BS3	MCAV	July	Untreated	DD
BS3-2769-HD-A	2769	BS3	MCAV	July	Untreated	HD
BS3-2769-DD-A	2769	BS3	MCAV	July	Untreated	DD
BS3-2880-HD-A	2880	BS3	MCAV	July	Untreated	HD
BS3-2880-DD-A	2880	BS3	MCAV	July	Untreated	DD
BS3-2363-HD-A	2363	BS3	MCAV	July	Untreated	HD
BS3-2363-DD-A	2363	BS3	MCAV	July	Untreated	DD
BS3-2516-HD-A	2516	BS3	MCAV	July	Untreated	HD
BS3-2516-DD-A	2516	BS3	MCAV	July	Untreated	DD
BS3-2366-HD-A	2366	BS3	MCAV	July	Untreated	HD
BS3-2366-DD-A	2366	BS3	MCAV	July	Untreated	DD
BS3-2266-HD-A	2266	BS3	MCAV	July	Untreated	HD
BS3-2266-DD-A	2266	BS3	MCAV	July	Untreated	DD
BS3-2568-HD-A	2568	BS3	MCAV	July	Untreated	HD
BS3-2568-DD-A	2568	BS3	MCAV	July	Untreated	DD
BS3-2506-HD-A	2506	BS3	MCAV	July	Untreated	HD
BS3-2506-DD-A	2506	BS3	MCAV	July	Untreated	DD
BS3-2507-HD-A	2507	BS3	MCAV	July	Untreated	HD
BS3-2507-DD-A	2507	BS3	MCAV	July	Untreated	DD
BS3-2429-HD-A	2429	BS3	MCAV	July	Untreated	HD
BS3-2429-DD-A	2429	BS3	MCAV	July	Untreated	DD
BS3-2268-HD-A	2268	BS3	MCAV	July	Untreated	HD
BS3-2268-DD-A	2268	BS3	MCAV	July	Untreated	DD
BS3-2581-HD-A	2581	BS3	MCAV	July	Untreated	HD
BS3-2581-DD-A	2581	BS3	MCAV	July	Untreated	DD
BS3-2569-HD-A	2569	BS3	MCAV	July	Untreated	HD
BS3-2569-DD-A	2569	BS3	MCAV	July	Untreated	DD
BS3-2564-HH-A	2564	BS3	MCAV	July	Untreated	HH
BS3-2848-HH-A	2848	BS3	MCAV	July	Untreated	HH
BS3-2565-HH-A	2565	BS3	MCAV	July	Untreated	HH
BS3-2504-HH-A	2504	BS3	MCAV	July	Untreated	HH
BS3-2832-HH-A	2832	BS3	MCAV	July	Untreated	HH
BS3-2896-HH-A	2896	BS3	MCAV	July	Untreated	HH
BS3-2267-HH-A	2267	BS3	MCAV	July	Untreated	HH
BS3-2899-HH-A	2899	BS3	MCAV	July	Untreated	HH
BS3-2517-HH-A	2517	BS3	MCAV	July	Untreated	HH
BS3-2506-HD-AA	2506	BS3	MCAV	July	Untreated	HD
BS3-2506-DD-AA	2506	BS3	MCAV	July	Untreated	DD
BS3-2116-HD-A	2116	BS3	MCAV	July	Untreated	HD
BS3-2116-DD-A	2116	BS3	MCAV	July	Untreated	DD
BS3-2264-HD-A	2264	BS3	MCAV	July	Untreated	HD
BS3-2264-DD-A	2264	BS3	MCAV	July	Untreated	DD
BS3-2364-HD-A	2364	BS3	MCAV	July	Untreated	HD
BS3-2364-DD-A	2364	BS3	MCAV	July	Untreated	DD
BS3-2451-HD-A	2451	BS3	MCAV	July	Untreated	HD
BS3-2451-DD-A	2451	BS3	MCAV	July	Untreated	DD
BS3-2688-HD-A	2688	BS3	MCAV	July	Untreated	HD
BS3-2688-DD-A	2688	BS3	MCAV	July	Untreated	DD
BS3-2629-HD-A	2629	BS3	MCAV	July	Untreated	HD
BS3-2629-DD-A	2629	BS3	MCAV	July	Untreated	DD
BS3-2753-HD-A	2753	BS3	MCAV	July	Untreated	HD
BS3-2753-DD-A	2753	BS3	MCAV	July	Untreated	DD
BS3-2635-HD-A	2635	BS3	MCAV	July	Untreated	HD
BS3-2635-DD-A	2635	BS3	MCAV	July	Untreated	DD
BS3-2634-HD-A	2634	BS3	MCAV	July	Untreated	HD
BS3-2634-DD-A	2634	BS3	MCAV	July	Untreated	DD
BS3-2562-DD-A	2562	BS3	MCAV	July		DD
BS3-2897-HH-A	2897	BS3	MCAV	July	Untreated	HH
BS3-2503-HH-A	2503	BS3	MCAV	July	Untreated	HH
BS3-2615-H-A	2615	BS3	MCAV	July	Untreated	H
BS3-2697-H-A	2697	BS3	MCAV	July	Untreated	H
BS3-2698-H-A	2698	BS3	MCAV	July	Untreated	H
BS3-2631-H-A	2631	BS3	MCAV	July	Untreated	H
BS3-2628-H-A	2628	BS3	MCAV	July	Untreated	H
BS3-SWB1-A	SW	BS3	SW	July		
BS3-SWB2-A	SW	BS3	SW	July		
BS3-2041-HD-B	2041	BS3	MCAV	August	Probiotic	HD
BS3-2041-DD-B	2041	BS3	MCAV	August	Probiotic	DD
BS3-2362-HD-B	2362	BS3	MCAV	August	Probiotic	HD
BS3-2362-DD-B	2362	BS3	MCAV	August	Probiotic	DD
BS3-2512-HH-B	2512	BS3	MCAV	August	Probiotic	HH
BS3-2549-HH-B	2549	BS3	MCAV	August	Untreated	HH
BS3-2799-HD-B	2799	BS3	MCAV	August	Control	HD
BS3-2799-DD-B	2799	BS3	MCAV	August	Control	DD
BS3-2513-HD-B	2513	BS3	MCAV	August	Probiotic	HD
BS3-2513-DD-B	2513	BS3	MCAV	August	Probiotic	DD
BS3-2265-HD-B	2265	BS3	MCAV	August	Control	HD
BS3-2265-DD-B	2265	BS3	MCAV	August	Control	DD
BS3-2365-HD-B	2365	BS3	MCAV	August	Control	HD
BS3-2365-DD-B	2365	BS3	MCAV	August	Control	DD
BS3-2769-HH-B	2769	BS3	MCAV	August	Probiotic	HH
BS3-2880-HH-B	2880	BS3	MCAV	August	Background	HH
BS3-2363-HH-B	2363	BS3	MCAV	August	Probiotic	HH
BS3-2516-HD-B	2516	BS3	MCAV	August	Background	HD
BS3-2516-DD-B	2516	BS3	MCAV	August	Background	DD
BS3-2366-HD-B	2366	BS3	MCAV	August	Control	HD
BS3-2366-DD-B	2366	BS3	MCAV	August	Control	DD
BS3-2266-HD-B	2266	BS3	MCAV	August	Probiotic	HD
BS3-2266-DD-B	2266	BS3	MCAV	August	Probiotic	DD
BS3-2568-HD-B	2568	BS3	MCAV	August	Probiotic	HD
BS3-2568-DD-B	2568	BS3	MCAV	August	Probiotic	DD
BS3-2506-HD-B	2506	BS3	MCAV	August	Background	HD
BS3-2506-DD-B	2506	BS3	MCAV	August	Background	DD
BS3-2507-HD-B	2507	BS3	MCAV	August	Background	HD
BS3-2507-DD-B	2507	BS3	MCAV	August	Background	DD
BS3-2429-HD-B	2429	BS3	MCAV	August	Control	HD
BS3-2429-DD-B	2429	BS3	MCAV	August	Control	DD
BS3-2268-HD-B	2268	BS3	MCAV	August	Probiotic	HD
BS3-2268-DD-B	2268	BS3	MCAV	August	Probiotic	DD
BS3-2581-HD-B	2581	BS3	MCAV	August	Control	HD
BS3-2581-DD-B	2581	BS3	MCAV	August	Control	DD
BS3-2569-HD-B	2569	BS3	MCAV	August	Control	HD
BS3-2569-DD-B	2569	BS3	MCAV	August	Control	DD
BS3-2264-HD-B	2264	BS3	MCAV	August	Control	HD
BS3-2264-DD-B	2264	BS3	MCAV	August	Control	DD
BS3-2364-HD-B	2364	BS3	MCAV	August	Control	HD
BS3-2364-DD-B	2364	BS3	MCAV	August	Control	DD
BS3-2451-HD-B	2451	BS3	MCAV	August	Background	HD
BS3-2451-DD-B	2451	BS3	MCAV	August	Background	DD
BS3-2688-HD-B	2688	BS3	MCAV	August	Background	HD
BS3-2688-DD-B	2688	BS3	MCAV	August	Background	DD
BS3-2629-HD-B	2629	BS3	MCAV	August	Background	HD
BS3-2629-DD-B	2629	BS3	MCAV	August	Background	DD
BS3-2753-HD-B	2753	BS3	MCAV	August	Background	HD
BS3-2753-DD-B	2753	BS3	MCAV	August	Background	DD
BS3-2635-HD-B	2635	BS3	MCAV	August	Background	HD
BS3-2635-DD-B	2635	BS3	MCAV	August	Background	DD
BS3-2634-HD-B	2634	BS3	MCAV	August	Background	HD
BS3-2634-DD-B	2634	BS3	MCAV	August	Background	DD
BS3-2834-HD-B	2834	BS3	MCAV	August	Background	HD
BS3-2834-DD-B	2834	BS3	MCAV	August	Background	DD
BS3-2564-HH-B	2564	BS3	MCAV	August	Untreated	HH
BS3-2848-HH-B	2848	BS3	MCAV	August	Untreated	HH
BS3-2565-HH-B	2565	BS3	MCAV	August	Untreated	HH
BS3-2504-HH-B	2504	BS3	MCAV	August	Untreated	HH
BS3-2832-HH-B	2832	BS3	MCAV	August	Untreated	HH
BS3-2896-HH-B	2896	BS3	MCAV	August	Untreated	HH
BS3-2267-HH-B	2267	BS3	MCAV	August	Untreated	HH
BS3-2899-HH-B	2899	BS3	MCAV	August	Untreated	HH
BS3-2517-HH-B	2517	BS3	MCAV	August	Untreated	HH
BS3-2897-HH-B	2897	BS3	MCAV	August	Untreated	HH
BS3-2503-HH-B	2503	BS3	MCAV	August	Untreated	HH
BS3-2505-HD-B	2505	BS3	MCAV	August		HD
BS3-2505-DD-B	2505	BS3	MCAV	August		DD
BS3-2615-H-B	2615	BS3	MCAV	August	100% Healthy	H
BS3-2697-H-B	2697	BS3	MCAV	August	100% Healthy	H
BS3-2698-H-B	2698	BS3	MCAV	August	100% Healthy	H
BS3-2631-H-B	2631	BS3	MCAV	August	100% Healthy	H
BS3-2628-H-B	2628	BS3	MCAV	August	100% Healthy	H
BS3-SWBS-B	SW	BS3	SW	August		
BS3-SWBN-B	SW	BS3	SW	August		
BS3-2041-HH-C	2041	BS3	MCAV	November	Probiotic	HH
