""	"TagID"	"HealthState"	"Treatment"	"Treated"	"AllPresent"	"Status"	"Date"
"BS2-1566-DD-A"	"1566"	"Disease"	"none"	"NO"	"YES"	"Slowly Progressing"	"A"
"BS2-1689-DD-A"	"1689"	"Disease"	"none"	"NO"	"YES"	"Healing/Progressing"	"A"
"BS2-1842-DD-A"	"1842"	"Disease"	"none"	"NO"	"NO"	"Healing"	"A"
"BS2-1925-DD-A"	"1925"	"Disease"	"none"	"NO"	"NO"	"Healing"	"A"
"BS2-2006-DD-A"	"2006"	"Disease"	"none"	"NO"	"YES"	"Healing"	"A"
"BS2-2019-DD-A"	"2019"	"Disease"	"none"	"NO"	"NO"	"Healed"	"A"
"BS2-2048-DD-A"	"2048"	"Disease"	"none"	"NO"	"YES"	"Slowly Progressing"	"A"
"BS2-2076-DD-A"	"2076"	"Disease"	"none"	"NO"	"NO"	"Stopped"	"A"
"BS2-2077-DD-A"	"2077"	"Disease"	"none"	"NO"	"YES"	"Stopped"	"A"
"BS2-2078-DD-A"	"2078"	"Disease"	"none"	"NO"	"NO"	"Slowly Progressing"	"A"
"BS2-2079-DD-A"	"2079"	"Disease"	"none"	"NO"	"YES"	"Slowly Progressing"	"A"
"BS2-2080-DD-A"	"2080"	"Disease"	"none"	"NO"	"NO"	"Dead"	"A"
"BS2-2091-DD-A"	"2091"	"Disease"	"none"	"NO"	"YES"	"Stopped"	"A"
"BS2-2149-DD-A"	"2149"	"Disease"	"none"	"NO"	"NO"	"Slowly Progressing"	"A"
"BS2-2155-DD-A"	"2155"	"Disease"	"none"	"NO"	"YES"	"Healing"	"A"
"BS2-2161-DD-A"	"2161"	"Disease"	"none"	"NO"	"NO"	"Healing"	"A"
"BS2-2179-DD-A"	"2179"	"Disease"	"none"	"NO"	"NO"	"Stopped"	"A"
"BS2-2180-DD-A"	"2180"	"Disease"	"none"	"NO"	"YES"	"Slowly Progressing"	"A"
"BS2-2198-DD-A"	"2198"	"Disease"	"none"	"NO"	"NO"	"Slowly Progressing"	"A"
"BS2-2415-DD-A"	"2415"	"Disease"	"none"	"NO"	"NO"	"Stopped"	"A"
"BS2-2432-DD-A"	"2432"	"Disease"	"none"	"NO"	"NO"	"No Disease"	"A"
"BS2-2433-DD-A"	"2433"	"Disease"	"none"	"NO"	"YES"	"Stopped"	"A"
"BS2-2474-DD-A"	"2474"	"Disease"	"none"	"NO"	"YES"	"Quickly Progressing"	"A"
"BS2-2482-DD-A"	"2482"	"Disease"	"none"	"NO"	"NO"	"Dead"	"A"
"BS2-1566-DD-O"	"1566"	"Disease"	"probiotic paste"	"YES"	"YES"	"Slowly Progressing"	"O"
"BS2-1689-DD-O"	"1689"	"Disease"	"probiotic bag"	"YES"	"YES"	"Healing/Progressing"	"O"
"BS2-1842-DD-O"	"1842"	"Disease"	"probiotic bag"	"YES"	"NO"	"Healing"	"O"
"BS2-1925-DD-O"	"1925"	"Disease"	"probiotic bag"	"YES"	"NO"	"Healing"	"O"
"BS2-2006-DD-O"	"2006"	"Disease"	"probiotic paste"	"YES"	"YES"	"Healing"	"O"
"BS2-2019-DD-O"	"2019"	"Disease"	"probiotic bag"	"YES"	"NO"	"Healed"	"O"
