sample	tag	treatment	Site	Species	disease	condition	HealthState	Treated	AllPresent	Status	date	syringe
01DD-1573	1573	Probiotics			Y	DD					30-Jan	1
02HD-1644	1644	Control			Y	HD					30-Jan	2
03HD-1876	1876	Control			Y	HD					30-Jan	3
04DD-1876	1876	Probiotics			Y	DD					30-Jan	4
05HD-1572	1572	Probiotics			Y	HD					30-Jan	5
06HD-1860	1860	Probiotics			Y	HD					30-Jan	6
07DD-1860	1860	Probiotics			Y	DD					30-Jan	7
08HD-1573	1573	Probiotics			Y	HD					30-Jan	8
10HD-1692	1692	Control			Y	HD					30-Jan	10
16HD-1681	1681	Control			N	HH					16-Jan	16
22HD-1823	1823	Probiotics			Y	HD					16-Jan	22
23DD-1823	1823	Probiotics			Y	DD					16-Jan	23
24HD-1572	1572	Probiotics			Y	HD					16-Jan	24
25DD-1572	1572	Probiotics			Y	DD					16-Jan	25
26DD-1573	1573	Probiotics			Y	DD					16-Jan	26
27DD-1876	1876	Control			Y	DD					16-Jan	27
28HH-1692	1692	Control			N	HH					16-Jan	28
29DD-1644	1644	Control			Y	DD					16-Jan	29
30DD-1860	1860	Probiotics			Y	DD					16-Jan	30
31HD-2095	2095	Control			N	HH					16-Jan	31
32HD-1830	1830	Control			N	HH					16-Jan	32
33HD-1694	1694	Probiotics			N	HH					16-Jan	33
36HD-1647	1647	Control			N	HH					16-Jan	36
37HD-1826	1826	Probiotics			N	HH					16-Jan	37
38HD-1167	1657	Probiotics			Y	HD					16-Jan	38
39DD-1657	1657	Probiotics			Y	DD					16-Jan	39
40HD-1553	1553	Control			N	HH					16-Jan	40
41HD-1562	1562	Probiotics			N	HH					16-Jan	41
42HD-2487	2487	Probiotics			Y	HD					16-Jan	42
43DD-2487	2487	Probiotics			Y	DD					16-Jan	43
45HD-1564	1564	Probiotics			Y	HD					16-Jan	45
46HD-1860	1860	Probiotics			Y	HD					16-Jan	46
47HD-1573	1573	Probiotics			Y	HD					16-Jan	47
48HD-1644	1664	Probiotics			Y	HD					16-Jan	48
51HD-1876	1876	Probiotics			Y	HD					16-Jan	51
52HD-1652	1652	Control			N	HH					16-Jan	52
53HD-1824	1824	Probiotics			N	HH					16-Jan	53
54HD-1832	1832	Probiotics			N	HH					16-Jan	54
55DD-1564	1564	Probiotics			Y	DD					16-Jan	55
61DD-1572	1572	Probiotics			Y	DD					30-Jan	61
62DD-1823	1823	Probiotics			Y	DD					30-Jan	62
63HD-1823	1823	Probiotics			Y	HD					30-Jan	63
64HD-2487	2487	Probiotics			Y	HD					30-Jan	64
66HD-1652	1652	Control			N	HH					30-Jan	66
67HD-1826	1826	Probiotics			N	HH					30-Jan	67
68HD-1553	1553	Control			N	HH					30-Jan	68
69HD-1830	1830	Control			N	HH					30-Jan	69
70HD-1694	1694	Probiotics			N	HH					30-Jan	70
71HD-1647	1647	Control			N	HH					30-Jan	71
72HD-1824	1824	Probiotics			N	HH					30-Jan	72
73HD-1562	1562	Probiotics			N	HH					30-Jan	73
74HD-2095	2095	Control			N	HH					30-Jan	74
75HD-1681	1681	Control			N	HH					30-Jan	75
76HD-1692	1692	Control			N	HH					30-Jan	76
77HD-1832	1832	Probiotics			N	HH					30-Jan	77
86DD-2487	2487	Probiotics			Y	DD					30-Jan	86
87HD-1564	1564	Probiotics			Y	HD					30-Jan	87
88HD-1657	1657	Probiotics			Y	HD					30-Jan	88
89DD-1657	1657	Probiotics			Y	DD					30-Jan	89
90DD-1564	1564	Probiotics			Y	DD					30-Jan	90
1647	na	water			na	na					30-Jan	na
1686-1	na	water			na	na					16-Jan	na
1686-2	na	water			na	na					16-Jan	na
Blank_JT	na	blank			na	na					na	na
BS2-1-HH-A	1	none					Healthy	NO	NO	No Disease	O	
BS2-10H-A	10	none					Healthy	NO	NO	No Disease	O	
BS2-1566-DD-A	1566	none					Disease	NO	YES	Slowly Progressing	A	
BS2-1566-HD-A	1566	none					Apparently Healthy	NO	YES	Slowly Progressing	A	
BS2-1689-DD-A	1689	none					Disease	NO	YES	Healing/Progressing	A	
BS2-1689-HD-A	1689	none					Apparently Healthy	NO	YES	Healing/Progressing	A	
BS2-1842-DD-A	1842	none					Disease	NO	NO	Healing	A	
BS2-1842-HD-A	1842	none					Apparently Healthy	NO	YES	Healing	A	
BS2-1894-HH-A	1894	none					Healthy	NO	NO	No Disease	A	
BS2-1925-DD-A	1925	none					Disease	NO	NO	Healing	A	
BS2-1925-HD-A	1925	none					Apparently Healthy	NO	YES	Healing	A	
BS2-2006-DD-A	2006	none					Disease	NO	YES	Healing	A	
BS2-2006-HD-A	2006	none					Apparently Healthy	NO	YES	Healing	A	
BS2-2019-DD-A	2019	none					Disease	NO	NO	Healed	A	
BS2-2019-HD-A	2019	none					Apparently Healthy	NO	YES	Healed	A	
BS2-2048-DD-A	2048	none					Disease	NO	YES	Slowly Progressing	A	
BS2-2048-HD-A	2048	none					Apparently Healthy	NO	YES	Slowly Progressing	A	
BS2-2065-HH-A	2065	none					Healthy	NO	NO	Slowly Progressing	A	
BS2-2076-DD-A	2076	none					Disease	NO	NO	Stopped	A	
BS2-2076-HD-A	2076	none					Apparently Healthy	NO	YES	Stopped	A	
BS2-2077-DD-A	2077	none					Disease	NO	YES	Stopped	A	
BS2-2077-HD-A	2077	none					Apparently Healthy	NO	NO	Stopped	A	
BS2-2078-DD-A	2078	none					Disease	NO	NO	Slowly Progressing	A	
BS2-2078-HH-A	2078	none					Healthy	NO	NO	Slowly Progressing	A	
BS2-2079-DD-A	2079	none					Disease	NO	YES	Slowly Progressing	A	
